"country","iso_code","region","income_group","year","arima_model","forecast_coverage","lower_ci","upper_ci","reported_coverage","delta","lower_delta","upper_delta","within_ci","surviving_infants","missed_immunisations"
"Afghanistan","AFG","Asia","LIC",2020,"ARIMA(0,1,0)",0.75,0.66770088074754,0.83229911925246,0.78,0.03,0.11229911925246,-0.0522991192524596,TRUE,1349260,296837
"Afghanistan","AFG","Asia","LIC",2021,"ARIMA(0,1,0)",0.75,0.633611469381811,0.866388530618189,0.74,-0.01,0.106388530618189,-0.126388530618189,TRUE,1387559,360765
"Afghanistan","AFG","Asia","LIC",2022,"ARIMA(0,1,0)",0.75,0.60745374403657,0.89254625596343,0.77,0.02,0.16254625596343,-0.12254625596343,TRUE,1397103,321334
"Angola","AGO","Africa","LMIC",2020,"ARIMA(0,1,0)",0.67,0.557229038935711,0.782770961064289,0.61,-0.0600000000000001,0.0527709610642888,-0.172770961064289,TRUE,1260616,491640
"Angola","AGO","Africa","LMIC",2021,"ARIMA(0,1,0)",0.67,0.510517777421035,0.829482222578966,0.57,-0.1,0.0594822225789654,-0.259482222578966,TRUE,1286766,553309
"Angola","AGO","Africa","LMIC",2022,"ARIMA(0,1,0)",0.67,0.47467496581828,0.86532503418172,0.53,-0.14,0.0553250341817199,-0.33532503418172,TRUE,1306749,614172
"Albania","ALB","Europe","UMIC",2020,"ARIMA(0,1,1) with drift",0.99,0.983348365706148,0.99,0.99,0,0.00665163429385218,0,TRUE,29309,293
"Albania","ALB","Europe","UMIC",2021,"ARIMA(0,1,1) with drift",0.99,0.983914719178112,0.99,0.98,-0.01,-0.00391471917811204,-0.01,FALSE,29062,581
"Albania","ALB","Europe","UMIC",2022,"ARIMA(0,1,1) with drift",0.99,0.984488703914658,0.99,0.98,-0.01,-0.00448870391465817,-0.01,FALSE,28591,572
"Andorra","AND","Europe","HIC",2020,"ARIMA(0,0,0) with non-zero mean",0.983999999999951,0.959869432571895,0.99,0.99,0.00600000000004886,0.0301305674281047,0,TRUE,588,6
"Andorra","AND","Europe","HIC",2021,"ARIMA(0,0,0) with non-zero mean",0.983999999999951,0.959869432571895,0.99,0.99,0.00600000000004886,0.0301305674281047,0,TRUE,564,6
"Andorra","AND","Europe","HIC",2022,"ARIMA(0,0,0) with non-zero mean",0.983999999999951,0.959869432571895,0.99,0.99,0.00600000000004886,0.0301305674281047,0,TRUE,572,6
"United Arab Emirates","ARE","Asia","HIC",2020,"ARIMA(0,1,0)",0.99,0.970395607307185,0.99,0.9,-0.09,-0.0703956073071852,-0.09,FALSE,98172,9817
"United Arab Emirates","ARE","Asia","HIC",2021,"ARIMA(0,1,0)",0.99,0.962275201971733,0.99,0.96,-0.03,-0.00227520197173336,-0.03,FALSE,96086,3843
"United Arab Emirates","ARE","Asia","HIC",2022,"ARIMA(0,1,0)",0.99,0.956044195804513,0.99,0.98,-0.01,0.0239558041954873,-0.01,TRUE,92927,1859
"Argentina","ARG","Americas","UMIC",2020,"ARIMA(0,1,0)",0.87,0.820947450170268,0.919052549829732,0.79,-0.08,-0.0309474501702677,-0.129052549829732,FALSE,630707,132448
"Argentina","ARG","Americas","UMIC",2021,"ARIMA(0,1,0)",0.87,0.800629218761811,0.939370781238189,0.88,0.01,0.0793707812381894,-0.0593707812381894,TRUE,624312,74917
"Argentina","ARG","Americas","UMIC",2022,"ARIMA(0,1,0)",0.87,0.7850384914541,0.9549615085459,0.87,0,0.0849615085459003,-0.0849615085459003,TRUE,622930,80981
"Armenia","ARM","Asia","UMIC",2020,"ARIMA(3,0,0) with non-zero mean",0.960888566452306,0.950882186899905,0.970894946004707,0.96,-0.000888566452305839,0.00911781310009507,-0.0108949460047068,TRUE,34717,1389
"Armenia","ARM","Asia","UMIC",2021,"ARIMA(3,0,0) with non-zero mean",0.966933125990074,0.954345812391082,0.979520439589067,0.96,-0.00693312599007445,0.00565418760891845,-0.0195204395890674,TRUE,33426,1337
"Armenia","ARM","Asia","UMIC",2022,"ARIMA(3,0,0) with non-zero mean",0.971601505336736,0.957456552897581,0.985746457775891,0.96,-0.0116015053367363,0.00254344710241861,-0.0257464577758912,TRUE,32329,1293
"Antigua and Barbuda","ATG","Americas","HIC",2020,"ARIMA(0,0,0) with non-zero mean",0.986,0.969912955047962,0.99,0.98,-0.00599999999999967,0.0100870449520376,-0.01,TRUE,1122,22
"Antigua and Barbuda","ATG","Americas","HIC",2021,"ARIMA(0,0,0) with non-zero mean",0.986,0.969912955047962,0.99,0.93,-0.0559999999999996,-0.0399129550479623,-0.0599999999999999,FALSE,1124,79
"Antigua and Barbuda","ATG","Americas","HIC",2022,"ARIMA(0,0,0) with non-zero mean",0.986,0.969912955047962,0.99,0.99,0.00400000000000034,0.0200870449520376,0,TRUE,1119,11
"Australia","AUS","Oceania","HIC",2020,"ARIMA(1,0,0) with non-zero mean",0.974707187313918,0.943623257061043,0.99,0.98,0.00529281268608173,0.0363767429389568,-0.01,TRUE,295672,5913
"Australia","AUS","Oceania","HIC",2021,"ARIMA(1,0,0) with non-zero mean",0.971065713665655,0.933335547761926,0.99,0.98,0.00893428633434512,0.0466644522380737,-0.01,TRUE,297762,5955
"Australia","AUS","Oceania","HIC",2022,"ARIMA(1,0,0) with non-zero mean",0.96856036705366,0.928062790287648,0.99,0.98,0.0114396329463399,0.0519372097123523,-0.01,TRUE,299523,5990
"Austria","AUT","Europe","HIC",2020,"ARIMA(0,0,0) with non-zero mean",0.954,0.883075468033428,0.99,0.95,-0.004,0.0669245319665724,-0.04,TRUE,83136,4157
"Austria","AUT","Europe","HIC",2021,"ARIMA(0,0,0) with non-zero mean",0.954,0.883075468033428,0.99,0.96,0.00600000000000001,0.0769245319665725,-0.03,TRUE,84439,3378
"Austria","AUT","Europe","HIC",2022,"ARIMA(0,0,0) with non-zero mean",0.954,0.883075468033428,0.99,0.91,-0.0439999999999999,0.0269245319665725,-0.08,TRUE,84214,7579
"Azerbaijan","AZE","Asia","UMIC",2020,"ARIMA(0,1,0) with drift",0.966842105263065,0.931024828038445,0.99,0.85,-0.116842105263065,-0.0810248280384454,-0.14,FALSE,129884,19483
"Azerbaijan","AZE","Asia","UMIC",2021,"ARIMA(0,1,0) with drift",0.97368421052613,0.923030931307796,0.99,0.92,-0.0536842105261296,-0.00303093130779575,-0.07,FALSE,125236,10019
"Azerbaijan","AZE","Asia","UMIC",2022,"ARIMA(0,1,0) with drift",0.980526315789194,0.918488971847374,0.99,0.9,-0.0805263157891943,-0.0184889718473739,-0.09,FALSE,121879,12188
"Burundi","BDI","Africa","LIC",2020,"ARIMA(1,0,0) with non-zero mean",0.967927566881801,0.936560244246727,0.99,0.98,0.0120724331181985,0.0434397557532727,-0.01,TRUE,421064,8421
"Burundi","BDI","Africa","LIC",2021,"ARIMA(1,0,0) with non-zero mean",0.965996258705009,0.923119932959206,0.99,0.96,-0.00599625870500864,0.0368800670407936,-0.03,TRUE,423658,16946
"Burundi","BDI","Africa","LIC",2022,"ARIMA(1,0,0) with non-zero mean",0.964196465389126,0.913398439022338,0.99,0.93,-0.034196465389126,0.0166015609776625,-0.0599999999999999,TRUE,426016,29821
"Belgium","BEL","Europe","HIC",2020,"ARIMA(0,1,1)",0.972065940682486,0.96531031279149,0.978821568573481,0.98,0.00793405931751445,0.0146896872085104,0.00117843142651852,FALSE,114580,2292
"Belgium","BEL","Europe","HIC",2021,"ARIMA(0,1,1)",0.972065940682486,0.95824028634327,0.985891595021701,0.98,0.00793405931751445,0.02175971365673,-0.00589159502170111,TRUE,116101,2322
"Belgium","BEL","Europe","HIC",2022,"ARIMA(0,1,1)",0.972065940682486,0.953717672981873,0.99,0.98,0.00793405931751445,0.0262823270181269,-0.01,TRUE,116716,2334
"Benin","BEN","Africa","LMIC",2020,"ARIMA(1,0,0) with non-zero mean",0.849137496143412,0.803678506194762,0.894596486092061,0.83,-0.0191374961434118,0.0263214938052377,-0.0645964860920613,TRUE,448204,76195
"Benin","BEN","Africa","LMIC",2021,"ARIMA(1,0,0) with non-zero mean",0.854990978318521,0.801004362230711,0.908977594406331,0.84,-0.0149909783185211,0.0389956377692885,-0.0689775944063308,TRUE,454920,72787
"Benin","BEN","Africa","LMIC",2022,"ARIMA(1,0,0) with non-zero mean",0.858740720374394,0.801621882123122,0.915859558625665,0.84,-0.0187407203743937,0.0383781178768779,-0.0758595586256653,TRUE,460723,73716
"Burkina Faso","BFA","Africa","LIC",2020,"ARIMA(1,0,0) with non-zero mean",0.944695276949147,0.907162865288409,0.982227688609886,0.95,0.00530472305085261,0.0428371347115911,-0.0322276886098859,TRUE,744797,37240
"Burkina Faso","BFA","Africa","LIC",2021,"ARIMA(1,0,0) with non-zero mean",0.941538372057778,0.897862537969329,0.985214206146227,0.95,0.00846162794222183,0.0521374620306705,-0.0352142061462268,TRUE,754125,37706
"Burkina Faso","BFA","Africa","LIC",2022,"ARIMA(1,0,0) with non-zero mean",0.939659659748462,0.894005887748852,0.985313431748071,0.95,0.0103403402515383,0.0559941122511477,-0.0353134317480711,TRUE,762151,38108
"Bangladesh","BGD","Asia","LMIC",2020,"ARIMA(0,1,1) with drift",0.99,0.967078632557833,0.99,0.99,0,0.0229213674421666,0,TRUE,2958134,29581
"Bangladesh","BGD","Asia","LMIC",2021,"ARIMA(0,1,1) with drift",0.99,0.967455642933426,0.99,0.99,0,0.0225443570665742,0,TRUE,2957723,29577
"Bangladesh","BGD","Asia","LMIC",2022,"ARIMA(0,1,1) with drift",0.99,0.968069697032924,0.99,0.99,0,0.0219303029670764,0,TRUE,2940527,29405
"Bulgaria","BGR","Europe","UMIC",2020,"ARIMA(0,0,0) with non-zero mean",0.953999999999934,0.92132705724807,0.986672942751798,0.94,-0.0139999999999338,0.0186729427519301,-0.0466729427517978,TRUE,59507,3570
"Bulgaria","BGR","Europe","UMIC",2021,"ARIMA(0,0,0) with non-zero mean",0.953999999999934,0.92132705724807,0.986672942751798,0.92,-0.0339999999999337,-0.00132705724806981,-0.0666729427517977,FALSE,57855,4628
"Bulgaria","BGR","Europe","UMIC",2022,"ARIMA(0,0,0) with non-zero mean",0.953999999999934,0.92132705724807,0.986672942751798,0.94,-0.0139999999999338,0.0186729427519301,-0.0466729427517978,TRUE,56406,3384
"Bahrain","BHR","Asia","HIC",2020,"ARIMA(0,0,0) with non-zero mean",0.9865,0.97499220966943,0.99,0.99,0.00350000000000017,0.0150077903305698,0,TRUE,18855,189
"Bahrain","BHR","Asia","HIC",2021,"ARIMA(0,0,0) with non-zero mean",0.9865,0.97499220966943,0.99,0.99,0.00350000000000017,0.0150077903305698,0,TRUE,17417,174
"Bahrain","BHR","Asia","HIC",2022,"ARIMA(0,0,0) with non-zero mean",0.9865,0.97499220966943,0.99,0.97,-0.0164999999999998,-0.00499220966943026,-0.02,FALSE,16783,503
"Bahamas","BHS","Americas","HIC",2020,"ARIMA(1,1,0)",0.924010217182247,0.884453422778905,0.963567011585588,0.97,0.0459897828177532,0.0855465772210945,0.00643298841441198,FALSE,4627,139
"Bahamas","BHS","Americas","HIC",2021,"ARIMA(1,1,0)",0.917467344332456,0.872642648847847,0.962292039817065,0.91,-0.00746734433245599,0.0373573511521534,-0.0522920398170654,TRUE,4624,416
"Bahamas","BHS","Americas","HIC",2022,"ARIMA(1,1,0)",0.920522913319836,0.866745815020898,0.974300011618774,0.98,0.0594770866801642,0.113254184979102,0.00569998838122587,FALSE,4618,92
"Bosnia and Herzegovina","BIH","Europe","UMIC",2020,"ARIMA(1,0,0) with non-zero mean",0.898630873065918,0.844909347181642,0.952352398950195,0.84,-0.0586308730659184,-0.00490934718164171,-0.112352398950195,FALSE,28561,4570
"Bosnia and Herzegovina","BIH","Europe","UMIC",2021,"ARIMA(1,0,0) with non-zero mean",0.911237529992113,0.852538829143441,0.969936230840786,0.85,-0.0612375299921131,-0.00253882914344061,-0.119936230840786,FALSE,27530,4130
"Bosnia and Herzegovina","BIH","Europe","UMIC",2022,"ARIMA(1,0,0) with non-zero mean",0.916788453936656,0.857172855533656,0.976404052339656,0.85,-0.0667884539366559,-0.00717285553365576,-0.126404052339656,FALSE,26652,3998
"Belarus","BLR","Europe","UMIC",2020,"ARIMA(0,0,0) with non-zero mean",0.973,0.864692095643297,0.99,0.97,-0.00299999999999956,0.105307904356703,-0.02,TRUE,90996,2730
"Belarus","BLR","Europe","UMIC",2021,"ARIMA(0,0,0) with non-zero mean",0.973,0.864692095643297,0.99,0.98,0.00700000000000045,0.115307904356703,-0.01,TRUE,88703,1774
"Belarus","BLR","Europe","UMIC",2022,"ARIMA(0,0,0) with non-zero mean",0.973,0.864692095643297,0.99,0.98,0.00700000000000045,0.115307904356703,-0.01,TRUE,87113,1742
"Belize","BLZ","Americas","UMIC",2020,"ARIMA(0,0,0) with non-zero mean",0.9725,0.929902067683161,0.99,0.79,-0.1825,-0.139902067683161,-0.2,FALSE,6999,1470
"Belize","BLZ","Americas","UMIC",2021,"ARIMA(0,0,0) with non-zero mean",0.9725,0.929902067683161,0.99,0.83,-0.1425,-0.0999020676831609,-0.16,FALSE,7125,1211
"Belize","BLZ","Americas","UMIC",2022,"ARIMA(0,0,0) with non-zero mean",0.9725,0.929902067683161,0.99,0.91,-0.0624999999999997,-0.0199020676831608,-0.08,FALSE,7130,642
"Bolivia (Plurinational State of)","BOL","Americas","LMIC",2020,"ARIMA(0,0,1) with non-zero mean",0.867540617688473,0.779927614672854,0.955153620704093,0.79,-0.0775406176884734,0.0100723853271459,-0.165153620704093,TRUE,256938,53957
"Bolivia (Plurinational State of)","BOL","Americas","LMIC",2021,"ARIMA(0,0,1) with non-zero mean",0.918039874641466,0.818708136922733,0.99,0.75,-0.168039874641466,-0.0687081369227335,-0.24,FALSE,257599,64400
"Bolivia (Plurinational State of)","BOL","Americas","LMIC",2022,"ARIMA(0,0,1) with non-zero mean",0.918039874641466,0.818708136922733,0.99,0.75,-0.168039874641466,-0.0687081369227335,-0.24,FALSE,258219,64555
"Brazil","BRA","Americas","UMIC",2020,"ARIMA(1,2,0)",0.687080939092229,0.67127996489702,0.702881913287438,0.88,0.192919060907771,0.20872003510298,0.177118086712562,FALSE,2755362,330643
"Brazil","BRA","Americas","UMIC",2021,"ARIMA(1,2,0)",0.566652433087987,0.520208526239852,0.613096339936122,0.74,0.173347566912013,0.219791473760148,0.126903660063878,FALSE,2729876,709768
"Brazil","BRA","Americas","UMIC",2022,"ARIMA(1,2,0)",0.432847259129503,0.339677996976656,0.526016521282351,0.84,0.407152740870497,0.500322003023344,0.313983478717649,FALSE,2694048,431048
"Barbados","BRB","Americas","HIC",2020,"ARIMA(0,0,0) with non-zero mean",0.941500000000068,0.874421230100106,0.99,0.86,-0.081500000000068,-0.0144212301001064,-0.13,FALSE,3018,423
"Barbados","BRB","Americas","HIC",2021,"ARIMA(0,0,0) with non-zero mean",0.941500000000068,0.874421230100106,0.99,0.83,-0.111500000000068,-0.0444212301001065,-0.16,FALSE,3017,513
"Barbados","BRB","Americas","HIC",2022,"ARIMA(0,0,0) with non-zero mean",0.941500000000068,0.874421230100106,0.99,0.87,-0.071500000000068,-0.00442123010010642,-0.12,FALSE,3009,391
