"country","iso_code","region","income_group","year","arima_model","forecast_coverage","lower_ci","upper_ci","reported_coverage","delta","lower_delta","upper_delta","within_ci","surviving_infants","missed_immunisations"
"Austria","AUT","Europe","HIC",2020,"ARIMA(0,1,0)",0.95,0.883003320334477,0.99,0.95,0,0.0669966796655226,-0.04,TRUE,83136,4157
"Austria","AUT","Europe","HIC",2021,"ARIMA(0,1,0)",0.95,0.855252386983052,0.99,0.99,0.04,0.134747613016948,0,TRUE,84439,844
"Austria","AUT","Europe","HIC",2022,"ARIMA(0,1,0)",0.95,0.833958346880898,0.99,0.95,0,0.116041653119102,-0.04,TRUE,84214,4211
"Azerbaijan","AZE","Asia","UMIC",2020,"ARIMA(1,1,0)",0.99,0.9519899965186,0.99,0.82,-0.17,-0.1319899965186,-0.17,FALSE,129884,23379
"Azerbaijan","AZE","Asia","UMIC",2021,"ARIMA(1,1,0)",0.99,0.921928206472095,0.99,0.93,-0.0599999999999999,0.00807179352790544,-0.0599999999999999,TRUE,125236,8767
"Azerbaijan","AZE","Asia","UMIC",2022,"ARIMA(1,1,0)",0.99,0.889689444345736,0.99,0.93,-0.0599999999999999,0.0403105556542644,-0.0599999999999999,TRUE,121879,8532
"Burundi","BDI","Africa","LIC",2020,"ARIMA(0,1,0)",0.92,0.846114818959983,0.99,0.9,-0.02,0.053885181040017,-0.09,TRUE,421064,42106
"Burundi","BDI","Africa","LIC",2021,"ARIMA(0,1,0)",0.92,0.815510574914816,0.99,0.9,-0.02,0.0844894250851836,-0.09,TRUE,423658,42366
"Burundi","BDI","Africa","LIC",2022,"ARIMA(0,1,0)",0.92,0.792027112512266,0.99,0.89,-0.03,0.0979728874877343,-0.1,TRUE,426016,46862
"Belgium","BEL","Europe","HIC",2020,"ARIMA(0,1,1)",0.959749727785152,0.930461165503002,0.989038290067303,0.96,0.000250272214847524,0.0295388344969978,-0.0290382900673027,TRUE,114580,4583
"Belgium","BEL","Europe","HIC",2021,"ARIMA(0,1,1)",0.959749727785152,0.902670147069737,0.99,0.96,0.000250272214847524,0.0573298529302627,-0.03,TRUE,116101,4644
"Belgium","BEL","Europe","HIC",2022,"ARIMA(0,1,1)",0.959749727785152,0.884527808182288,0.99,0.96,0.000250272214847524,0.075472191817712,-0.03,TRUE,116716,4669
"Benin","BEN","Africa","LMIC",2020,"ARIMA(0,0,1) with non-zero mean",0.677177694246402,0.625883981984239,0.728471406508566,0.65,-0.0271776942464024,0.0241160180157612,-0.078471406508566,TRUE,448204,156871
"Benin","BEN","Africa","LMIC",2021,"ARIMA(0,0,1) with non-zero mean",0.675622866769135,0.616798748258262,0.734446985280008,0.68,0.00437713323086542,0.0632012517417385,-0.0544469852800077,TRUE,454920,145574
"Benin","BEN","Africa","LMIC",2022,"ARIMA(0,0,1) with non-zero mean",0.675622866769135,0.616798748258262,0.734446985280008,0.68,0.00437713323086542,0.0632012517417385,-0.0544469852800077,TRUE,460723,147431
"Burkina Faso","BFA","Africa","LIC",2020,"ARIMA(1,2,0)",0.88,0.805325205561191,0.954674794438809,0.88,-1.11022302462516e-16,0.0746747944388091,-0.0746747944388093,TRUE,744797,89376
"Burkina Faso","BFA","Africa","LIC",2021,"ARIMA(1,2,0)",0.88,0.766340785472958,0.99,0.88,0,0.113659214527042,-0.11,TRUE,754125,90495
"Burkina Faso","BFA","Africa","LIC",2022,"ARIMA(1,2,0)",0.88,0.691025556201763,0.99,0.88,-1.11022302462516e-16,0.188974443798237,-0.11,TRUE,762151,91458
"Bangladesh","BGD","Asia","LMIC",2020,"ARIMA(0,1,1) with drift",0.99,0.92822931782359,0.99,0.97,-0.02,0.0417706821764104,-0.02,TRUE,2958134,88744
"Bangladesh","BGD","Asia","LMIC",2021,"ARIMA(0,1,1) with drift",0.99,0.933004947131515,0.99,0.97,-0.02,0.036995052868485,-0.02,TRUE,2957723,88732
"Bangladesh","BGD","Asia","LMIC",2022,"ARIMA(0,1,1) with drift",0.99,0.938519925547143,0.99,0.97,-0.02,0.0314800744528565,-0.02,TRUE,2940527,88216
"Bulgaria","BGR","Europe","UMIC",2020,"ARIMA(1,0,0) with non-zero mean",0.946979108223117,0.91676353919212,0.977194677254114,0.88,-0.066979108223117,-0.0367635391921201,-0.097194677254114,FALSE,59507,7141
"Bulgaria","BGR","Europe","UMIC",2021,"ARIMA(1,0,0) with non-zero mean",0.944568835926793,0.905914240956983,0.983223430896604,0.89,-0.0545688359267933,-0.015914240956983,-0.0932234308966036,FALSE,57855,6364
"Bulgaria","BGR","Europe","UMIC",2022,"ARIMA(1,0,0) with non-zero mean",0.942645757256157,0.899469794736294,0.98582171977602,0.91,-0.0326457572561566,0.0105302052637064,-0.0758217197760196,TRUE,56406,5077
"Bahrain","BHR","Asia","HIC",2020,"ARIMA(0,0,1) with non-zero mean",0.989362884884562,0.984827374621679,0.99,0.99,0.000637115115438291,0.00517262537832053,0,TRUE,18855,189
"Bahrain","BHR","Asia","HIC",2021,"ARIMA(0,0,1) with non-zero mean",0.988970833162678,0.983089335104252,0.99,0.99,0.00102916683732179,0.00691066489574799,0,TRUE,17417,174
"Bahrain","BHR","Asia","HIC",2022,"ARIMA(0,0,1) with non-zero mean",0.988970833162678,0.983089335104252,0.99,0.99,0.00102916683732179,0.00691066489574799,0,TRUE,16783,168
"Bahamas","BHS","Americas","HIC",2020,"ARIMA(0,0,0) with non-zero mean",0.9105,0.840703321491852,0.980296678508148,0.87,-0.0405,0.0292966785081478,-0.110296678508148,TRUE,4627,602
"Bahamas","BHS","Americas","HIC",2021,"ARIMA(0,0,0) with non-zero mean",0.9105,0.840703321491852,0.980296678508148,0.82,-0.0905,-0.0207033214918523,-0.160296678508148,FALSE,4624,832
"Bahamas","BHS","Americas","HIC",2022,"ARIMA(0,0,0) with non-zero mean",0.9105,0.840703321491852,0.980296678508148,0.8,-0.1105,-0.0407033214918522,-0.180296678508148,FALSE,4618,924
