"Region","Sample size","Expected","Reported","Delta","p-value"
"Africa",49,"80.7%","77.9%","-2.8% [-4.3%; -1.3%]","0.00039"
"Americas",34,"92.2%","85.9%","-6.3% [-8.1%; -4.5%]","< 0.0001"
"Asia",45,"92.7%","90%","-2.7% [-4.3%; -1.1%]","0.0011"
"Europe",40,"93.3%","91.6%","-1.7% [-3.3%; 0%]","0.056"
"Oceania",14,"85.2%","84.6%","-0.6% [-3.4%; 2.3%]","0.7"
