"country","iso_code","region","income_group","year","arima_model","forecast_coverage","lower_ci","upper_ci","reported_coverage","delta","lower_delta","upper_delta","within_ci","surviving_infants","missed_immunisations"
"Austria","AUT","Europe","HIC",2020,"ARIMA(0,1,0)",0.85,0.790008558774036,0.909991441225964,0.85,0,0.0599914412259638,-0.0599914412259638,TRUE,83136,12470
"Austria","AUT","Europe","HIC",2021,"ARIMA(0,1,0)",0.85,0.765159290191934,0.934840709808066,0.86,0.01,0.0948407098080665,-0.0748407098080665,TRUE,84439,11821
"Austria","AUT","Europe","HIC",2022,"ARIMA(0,1,0)",0.85,0.746091775777349,0.953908224222651,0.84,-0.01,0.0939082242226514,-0.113908224222651,TRUE,84214,13474
"Azerbaijan","AZE","Asia","UMIC",2020,"ARIMA(0,1,0) with drift",0.949473684210536,0.910560459327167,0.988386909093906,0.79,-0.159473684210536,-0.120560459327167,-0.198386909093906,FALSE,129884,27276
"Azerbaijan","AZE","Asia","UMIC",2021,"ARIMA(0,1,0) with drift",0.958947368421073,0.903915758035337,0.99,0.89,-0.0689473684210727,-0.0139157580353373,-0.1,FALSE,125236,13776
"Azerbaijan","AZE","Asia","UMIC",2022,"ARIMA(0,1,0) with drift",0.968421052631609,0.90102137004726,0.99,0.83,-0.138421052631609,-0.0710213700472596,-0.16,FALSE,121879,20719
"Burundi","BDI","Africa","LIC",2020,"ARIMA(0,1,0)",0.93,0.871199980144535,0.988800019855466,0.93,0,0.0588000198554655,-0.0588000198554655,TRUE,421064,29474
"Burundi","BDI","Africa","LIC",2021,"ARIMA(0,1,0)",0.93,0.846844214452594,0.99,0.94,0.0099999999999999,0.0931557855474064,-0.05,TRUE,423658,25419
"Burundi","BDI","Africa","LIC",2022,"ARIMA(0,1,0)",0.93,0.828155378124275,0.99,0.91,-0.02,0.0818446218757249,-0.08,TRUE,426016,38341
"Belgium","BEL","Europe","HIC",2020,"ARIMA(0,1,0)",0.97,0.955774511878113,0.984225488121887,0.97,0,0.0142254881218867,-0.0142254881218867,TRUE,114580,3437
