"income_group","sample_size","mean(predicts_2020)","mean(actuals_2020)","point_estimate","low_bound","upper_bound","p_value"
"LIC",24,0.763999459788316,0.740833333333333,-0.0231661264549825,-0.0370175528892065,-0.00931470002075846,0.00212645342789885
"LMIC",47,0.869458315591822,0.831063829787234,-0.0383944858045875,-0.0517491705446846,-0.0250398010644904,6.03240040440007e-07
"UMIC",38,0.911271861452554,0.867631578947368,-0.0436402825051857,-0.0633174743494549,-0.0239630906609165,6.65708919337419e-05
"HIC",39,0.952829020506076,0.943846153846154,-0.00898286665992232,-0.0178656215213401,-0.000100111798504499,0.0475974257424482
