"country","iso_code","region","income_group","gavi_status","predicts_2020","predicts_lower","predicts_upper","actuals_2020","cov_delta_mean","cov_delta_high","cov_delta_low","confidence_95_level","ci_width"
"Brazil","BRA","Latin America & Caribbean","Upper middle income","Never Gavi",0.633948225377901,0.546019278109886,0.721877172645916,0.77,0.136051774622099,0.0481228273540838,0.223980721890114,TRUE,0.17585789453603
"Brunei Darussalam","BRN","East Asia & Pacific","High income","Never Gavi",0.984364392050377,0.947079994304383,1.02164878979637,0.99,0.00563560794962337,-0.0316487897963698,0.0429200056956165,FALSE,0.0745687954919863
"Bulgaria","BGR","Eastern Europe & Central Asia","Upper middle income","Never Gavi",0.93,0.89079848988429,0.96920151011571,0.91,-0.02,-0.0592015101157101,0.01920151011571,FALSE,0.0784030202314201
"Burkina Faso","BFA","West & Central Africa","Low income","Initial self-financing",0.91,0.840700995012432,0.979299004987567,0.91,1.11022302462516e-16,-0.0692990049875674,0.0692990049875676,FALSE,0.138598009975135
"Burundi","BDI","Eastern & Southern Africa","Low income","Initial self-financing",0.93,0.871199980144535,0.988800019855466,0.93,0,-0.0588000198554655,0.0588000198554655,FALSE,0.117600039710931
"Cabo Verde","CPV","West & Central Africa","Lower middle income","Never Gavi",0.953835617568708,0.904112701601977,1.00355853353544,0.93,-0.0238356175687079,-0.0735585335354388,0.0258872983980232,FALSE,0.099445831933462
"Cambodia","KHM","East Asia & Pacific","Lower middle income","Preparatory transition phase",0.92,0.802144254501716,1.03785574549828,0.92,0,-0.117855745498284,0.117855745498284,FALSE,0.235711490996567
"Cameroon","CMR","West & Central Africa","Lower middle income","Preparatory transition phase",0.673630709144715,0.594711688813298,0.752549729476133,0.69,0.0163692908552846,-0.0625497294761327,0.0952883111867019,FALSE,0.157838040662835
"Canada","CAN","North America","High income","Never Gavi",0.908973150079904,0.879701945520536,0.938244354639273,0.91,0.00102684992009594,-0.0282443546392726,0.0302980544794644,FALSE,0.058542409118737
"Central African Republic","CAF","West & Central Africa","Low income","Initial self-financing",0.438499999999842,0.313683585460941,0.563316414538742,0.42,-0.0184999999998418,-0.143316414538742,0.106316414539059,FALSE,0.249632829077801
"Chad","TCD","West & Central Africa","Low income","Initial self-financing",0.5,0.357951437481445,0.642048562518555,0.52,0.02,-0.122048562518555,0.162048562518555,FALSE,0.28409712503711
"Chile","CHL","Latin America & Caribbean","High income","Never Gavi",0.945872191038717,0.906593334021367,0.985151048056067,0.93,-0.0158721910387172,-0.055151048056067,0.0234066659786326,FALSE,0.0785577140346996
"China","CHN","East Asia & Pacific","Upper middle income","Never Gavi",0.99,0.965465425151795,1.0292714169532,0.99,0,-0.0392714169532031,0.0245345748482053,FALSE,0.0638059918014084
"Colombia","COL","Latin America & Caribbean","Upper middle income","Never Gavi",0.927523357191832,0.860520709252063,0.994526005131601,0.88,-0.0475233571918321,-0.114526005131601,0.0194792907479372,FALSE,0.134005295879539
"Comoros","COM","Eastern & Southern Africa","Lower middle income","Initial self-financing",0.91,0.783857913968004,1.036142086032,0.87,-0.04,-0.166142086031996,0.0861420860319962,FALSE,0.252284172063993
"Congo","COG","West & Central Africa","Lower middle income","Initial self-financing",0.79,0.64625360236836,0.93374639763164,0.73,-0.0600000000000001,-0.20374639763164,0.0837463976316404,FALSE,0.287492795263281
"Costa Rica","CRI","Latin America & Caribbean","Upper middle income","Never Gavi",0.95,0.887531848088232,1.01246815191177,0.95,0,-0.0624681519117678,0.0624681519117678,FALSE,0.124936303823536
