"Country","ISO code","UNICEF Region (unused)","UN region","Income group","Gavi eligibility status","Gavi eligibility (binary)","ARIMA modelled expected 2020 coverage (mean)","ARIMA modelled expected coverage (max 95% CI)","ARIMA modelled expected coverage (min 95% CI)","ARIMA forecast unreliable","ARIMA coverage 95% CI","WUENIC reported 2020 coverage","Coverage delta","Coverage delta (max 95% CI)","Coverage delta (min 95% CI)","95% confident actuals outside expected","Surviving infants","Total missed children","Expected missed children","Additional missed children (mean)","Additional missed children (max 95% CI)","Additional missed children (min 95% CI)"
"Brunei Darussalam","BRN","East Asia & Pacific","Asia","HIC","Never Gavi","Not eligible","98.9%",0.982967358142986,0.995032641857014,FALSE,0.012065283714028,"99.0%","0.1%",0.00703264185701424,-0.0050326418570138,FALSE,6110,61,67,-6,-42,30
"Bulgaria","BGR","Eastern Europe & Central Asia","Europe","UMIC","Never Gavi","Not eligible","95.4%",0.92132705724807,0.986672942751798,FALSE,0.0653458855037279,"94.0%","-1.4%",0.0186729427519301,-0.0466729427517978,FALSE,60653,3639,2790,849,-1132,2830
"Burkina Faso","BFA","West & Central Africa","Africa","LIC","Initial self-financing","Gavi-eligible","94.5%",0.907162865288409,0.982227688609886,FALSE,0.075064823321477,"95.0%","0.5%",0.0428371347115911,-0.0322276886098859,FALSE,736290,36814,40720,-3905,-31540,23728
"Burundi","BDI","Eastern & Southern Africa","Africa","LIC","Initial self-financing","Gavi-eligible","96.8%",0.936560244246727,0.999294889516876,FALSE,0.0627346452701485,"98.0%","1.2%",0.0434397557532727,-0.0192948895168757,FALSE,431981,8639,13854,-5215,-18765,8335
"Cabo Verde","CPV","West & Central Africa","Africa","LMIC","Never Gavi","Not eligible","96.5%",0.928169313678075,1.00184264372668,FALSE,0.0736733300486041,"93.0%","-3.5%",0.00183068632192473,-0.0718426437266794,FALSE,10197,713,356,356,-18,732
"Cambodia","KHM","East Asia & Pacific","Asia","LMIC","Preparatory transition phase","Gavi-eligible","94.0%",0.805105571297551,1.07489442870245,FALSE,0.269788857404897,"94.0%","0.0%",0.134894428702449,-0.134894428702449,FALSE,352521,21151,21151,0,-47553,47553
"Cameroon","CMR","West & Central Africa","Africa","LMIC","Preparatory transition phase","Gavi-eligible","75.1%",0.675406854677078,0.826579704203658,FALSE,0.15117284952658,"77.0%","1.9%",0.0945931453229221,-0.0565797042036578,FALSE,862364,198343,214734,-16390,-81573,48792
"Canada","CAN","North America","Americas","HIC","Never Gavi","Not eligible","94.1%",0.933430579817866,0.949248218207064,FALSE,0.0158176383891986,"94.0%","-0.1%",0.00656942018213413,-0.00924821820706445,FALSE,385184,23111,22595,515,-2530,3562
"Central African Republic","CAF","West & Central Africa","Africa","LIC","Initial self-financing","Gavi-eligible","54.0%",0.35746322698177,0.72253677301823,FALSE,0.36507354603646,"54.0%","0.0%",0.18253677301823,-0.18253677301823,FALSE,156219,71860,71860,0,-28515,28515
"Chad","TCD","West & Central Africa","Africa","LIC","Initial self-financing","Gavi-eligible","65.0%",0.53465868310091,0.76534131689909,FALSE,0.23068263379818,"69.0%","4.0%",0.15534131689909,-0.0753413168990901,FALSE,629696,195205,220393,-25187,-97817,47442
"Chile","CHL","Latin America & Caribbean","Americas","HIC","Never Gavi","Not eligible","96.7%",0.920072901752283,1.01363728845712,FALSE,0.093564386704839,"98.0%","1.3%",0.0599270982477174,-0.0336372884571217,FALSE,225603,4512,7477,-2965,-13519,7588
"China","CHN","East Asia & Pacific","Asia","UMIC","Never Gavi","Not eligible","99.0%",0.97145577930175,1.00854422069825,FALSE,0.0370884413965009,"99.0%","0.0%",0.0185442206982505,-0.0185442206982505,FALSE,16086657,160866,160866,0,-298314,298314
"Colombia","COL","Latin America & Caribbean","Americas","UMIC","Never Gavi","Not eligible","93.6%",0.864790972178268,1.00720902782173,FALSE,0.142418055643465,"92.0%","-1.6%",0.0552090278217323,-0.0872090278217322,FALSE,718632,57490,45992,11498,-39674,62671
"Comoros","COM","Eastern & Southern Africa","Africa","LMIC","Initial self-financing","Gavi-eligible","96.0%",0.857675031696923,1.06232496830308,FALSE,0.204649936606155,"93.0%","-3.0%",0.0723249683030774,-0.132324968303077,FALSE,25562,1789,1022,766,-1848,3382
"Congo","COG","West & Central Africa","Africa","LMIC","Initial self-financing","Gavi-eligible","82.0%",0.699934931717899,0.940065068282101,FALSE,0.240130136564203,"77.0%","-5.0%",0.0700650682821015,-0.170065068282101,FALSE,170899,39306,30761,8544,-11974,29063
"Costa Rica","CRI","Latin America & Caribbean","Americas","UMIC","Never Gavi","Not eligible","93.3%",0.85899558405099,1.00800441594901,FALSE,0.149008831898019,"96.0%","2.7%",0.10100441594901,-0.0480044159490092,FALSE,67783,2711,4507,-1796,-6846,3253
"Cote d'Ivoire","CIV","West & Central Africa","Africa","LMIC","Preparatory transition phase","Gavi-eligible","98.0%",0.823266900992465,1.13673309900754,FALSE,0.313466198015071,"93.0%","-5.0%",0.106733099007535,-0.206733099007535,FALSE,876019,61321,17520,43800,-93500,181102
"Croatia","HRV","Eastern Europe & Central Asia","Europe","HIC","Never Gavi","Not eligible","98.0%",0.954166238917779,1.00583376108222,FALSE,0.0516675221644429,"98.0%","0.0%",0.0258337610822215,-0.0258337610822215,FALSE,35209,704,704,0,-909,909
"Cuba","CUB","Latin America & Caribbean","Americas","UMIC","Fully self-financing","Not eligible","98.1%",0.928856326006366,1.03214643793838,FALSE,0.103290111932016,"99.0%","0.9%",0.0611436739936341,-0.0421464379383816,FALSE,110221,1102,2149,-1046,-6739,4645
"Czechia","CZE","Western Europe","Europe","HIC","Never Gavi","Not eligible","98.9%",0.984268897675399,0.993311775652436,FALSE,0.00904287797703707,"99.0%","0.1%",0.00573110232460106,-0.00331177565243601,FALSE,108083,1080,1211,-130,-619,357
"Democratic People's Republic of Korea","PRK","East Asia & Pacific","Asia","LIC","Initial self-financing","Gavi-eligible","97.0%",0.919603822204384,1.02039617779562,FALSE,0.100792355591232,"98.0%","1.0%",0.0603961777956158,-0.0403961777956161,FALSE,350814,7016,10524,-3508,-21187,14171
"Democratic Republic of the Congo","COD","West & Central Africa","Africa","LIC","Initial self-financing","Gavi-eligible","65.7%",0.529935467562186,0.783883929096086,FALSE,0.2539484615339,"66.0%","0.3%",0.130064532437814,-0.123883929096086,FALSE,3374241,1147241,1157669,-10427,-438869,418014
"Denmark","DNK","Western Europe","Europe","HIC","Never Gavi","Not eligible","96.7%",0.925369123215411,1.00874015010701,FALSE,0.0833710268915955,"97.0%","0.3%",0.0446308767845893,-0.0387401501070062,FALSE,63072,1892,2077,-185,-2814,2443
"Djibouti","DJI","Eastern & Southern Africa","Africa","LMIC","Preparatory transition phase","Gavi-eligible","90.0%",0.765706566343127,1.03429343365687,FALSE,0.268586867313747,"76.0%","-14.0%",-0.00570656634312661,-0.274293433656873,TRUE,19684,4724,1968,2755,112,5399
"Dominica","DMA","Latin America & Caribbean","Americas","UMIC","Never Gavi","Not eligible","98.6%",0.97122310564936,1.00077689435064,FALSE,0.0295537887012803,"99.0%","0.4%",0.0187768943506404,-0.0107768943506399,FALSE,NA,NA,NA,NA,NA,NA
"Dominican Republic","DOM","Latin America & Caribbean","Americas","UMIC","Never Gavi","Not eligible","96.0%",0.88303181636298,1.03696818363702,FALSE,0.15393636727404,"86.0%","-10.0%",-0.0230318163629798,-0.17696818363702,TRUE,199478,27926,7979,19947,4594,35301
"Ecuador","ECU","Latin America & Caribbean","Americas","UMIC","Never Gavi","Not eligible","85.0%",0.764094102504709,0.935905897495291,FALSE,0.171811794990582,"74.0%","-11.0%",-0.0240941025047088,-0.195905897495291,TRUE,333092,86603,49963,36640,8025,65254
"Egypt","EGY","Middle East & North Africa","Africa","LMIC","Never Gavi","Not eligible","95.5%",0.936238675338336,0.973811072808715,FALSE,0.037572397470379,"95.0%","-0.5%",0.0137613246616638,-0.0238110728087152,FALSE,2526074,126303,113610,12693,-34762,60148
"El Salvador","SLV","Latin America & Caribbean","Americas","LMIC","Never Gavi","Not eligible","82.0%",0.754067367054673,0.885932632945327,TRUE,0.131865265890655,"79.0%","-3.0%",0.0359326329453274,-0.0959326329453273,FALSE,114102,23961,20538,3423,-4099,10946
"Equatorial Guinea","GNQ","West & Central Africa","Africa","UMIC","Never Gavi","Not eligible","77.0%",0.677302536984849,0.862697463015151,FALSE,0.185394926030302,"77.0%","0.0%",0.0926974630151508,-0.0926974630151508,FALSE,42590,9795,9795,0,-3947,3947
"Eritrea","ERI","Eastern & Southern Africa","Africa","LIC","Initial self-financing","Gavi-eligible","96.8%",0.95021149873026,0.985722667221226,FALSE,0.0355111684909655,"97.0%","0.2%",0.0197885012697399,-0.0157226672212256,FALSE,100941,3028,3233,-205,-1997,1587
"Estonia","EST","Western Europe","Europe","HIC","Never Gavi","Not eligible","92.0%",0.900918228370086,0.939081771629915,FALSE,0.0381635432598291,"92.0%","0.0%",0.0190817716299145,-0.0190817716299145,FALSE,13378,1070,1070,0,-255,255
"Eswatini","SWZ","Eastern & Southern Africa","Africa","LMIC","Never Gavi","Not eligible","96.0%",0.937068537766195,0.982931462233805,FALSE,0.0458629244676092,"87.0%","-9.0%",-0.0670685377661954,-0.112931462233805,TRUE,28357,3686,1134,2552,1901,3202
"Ethiopia","ETH","Eastern & Southern Africa","Africa","LIC","Initial self-financing","Gavi-eligible","77.5%",0.712813889704618,0.837712426084859,FALSE,0.12489853638024,"76.0%","-1.5%",0.0471861102953819,-0.0777124260848585,FALSE,3499225,839814,786404,53409,-165114,271933
"Fiji","FJI","East Asia & Pacific","Oceania","UMIC","Never Gavi","Not eligible","99.0%",0.985139319060082,0.994860680939918,FALSE,0.00972136187983663,"99.0%","0.0%",0.0048606809399182,-0.00486068093991843,FALSE,18112,181,181,0,-88,88
"Finland","FIN","Western Europe","Europe","HIC","Never Gavi","Not eligible","98.8%",0.979956477523981,0.996043522476018,FALSE,0.0160870449520372,"98.0%","-0.8%",4.3522476018798e-05,-0.0160435224760184,FALSE,49030,980,588,392,-2,786
"Gabon","GAB","West & Central Africa","Africa","UMIC","Never Gavi","Not eligible","77.0%",0.669656778954147,0.870343221045853,FALSE,0.200686442091707,"69.0%","-8.0%",0.0203432210458533,-0.180343221045853,FALSE,65052,20166,14961,5204,-1323,11731
"Georgia","GEO","Eastern Europe & Central Asia","Asia","UMIC","Fully self-financing","Not eligible","99.0%",0.920922823106066,1.05907717689393,FALSE,0.138154353787869,"95.0%","-4.0%",0.0290771768939343,-0.109077176893934,FALSE,51021,2551,510,2040,-1483,5565
"Germany","DEU","Western Europe","Europe","HIC","Never Gavi","Not eligible","98.0%",0.970307407109453,0.988854233447395,FALSE,0.0185468263379427,"98.0%","0.0%",0.00969259289054747,-0.00885423344739522,FALSE,787801,15756,16086,-330,-7635,6975
"Ghana","GHA","West & Central Africa","Africa","LMIC","Preparatory transition phase","Gavi-eligible","97.0%",0.879509342580584,1.06049065741942,FALSE,0.180981314838833,"94.0%","-3.0%",0.0604906574194164,-0.120490657419416,FALSE,860082,51604,25802,25802,-52026,103631
"Greece","GRC","Western Europe","Europe","HIC","Never Gavi","Not eligible","99.0%",0.976503697926481,1.00349630207352,FALSE,0.0269926041470372,"99.0%","0.0%",0.0134963020735186,-0.0134963020735186,FALSE,76072,760,760,0,-1026,1026
"Grenada","GRD","Latin America & Caribbean","Americas","UMIC","Never Gavi","Not eligible","97.4%",0.919992522304347,1.02900747769565,FALSE,0.109014955391306,"79.0%","-18.4%",-0.129992522304347,-0.239007477695653,TRUE,1761,369,44,324,228,420
"Guatemala","GTM","Latin America & Caribbean","Americas","UMIC","Never Gavi","Not eligible","94.4%",0.880283319080918,1.00771668091908,FALSE,0.127433361838164,"92.0%","-2.4%",0.039716680919082,-0.087716680919082,FALSE,419559,33564,23495,10069,-16663,36802
"Guinea","GIN","West & Central Africa","Africa","LIC","Initial self-financing","Gavi-eligible","66.7%",0.556707827526423,0.776530906197445,FALSE,0.219823078671022,"62.0%","-4.7%",0.063292172473577,-0.156530906197445,FALSE,445239,169190,148434,20756,-28180,69693
"Guinea-Bissau","GNB","West & Central Africa","Africa","LIC","Initial self-financing","Gavi-eligible","84.0%",0.799075342704937,0.880539185347187,FALSE,0.08146384264225,"87.0%","3.0%",0.0709246572950631,-0.0105391853471869,FALSE,63401,8242,10156,-1914,-4496,668
"Guyana","GUY","Latin America & Caribbean","Americas","UMIC","Fully self-financing","Not eligible","98.3%",0.943879402013945,1.02161916722208,FALSE,0.0777397652081324,"99.0%","0.7%",0.0461205979860546,-0.0316191672220778,FALSE,14925,149,257,-108,-688,471
"Haiti","HTI","Latin America & Caribbean","Americas","LMIC","Initial self-financing","Gavi-eligible","75.7%",0.699608023904456,0.814077056012606,TRUE,0.11446903210815,"75.0%","-0.7%",0.050391976095544,-0.064077056012606,FALSE,255229,63807,62060,1746,-12861,16354
"Honduras","HND","Latin America & Caribbean","Americas","LMIC","Fully self-financing","Not eligible","90.5%",0.863010614307096,0.947392071262901,FALSE,0.0843814569558052,"85.0%","-5.5%",-0.0130106143070962,-0.0973920712629014,TRUE,205825,30873,19511,11361,2677,20045
"Hungary","HUN","Western Europe","Europe","HIC","Never Gavi","Not eligible","99.0%",0.99,0.99,FALSE,0,"99.0%","0.0%",0,0,TRUE,90708,907,907,0,0,0
"Iceland","ISL","Western Europe","Europe","HIC","Never Gavi","Not eligible","97.0%",0.943167553172037,0.997832446827963,FALSE,0.0546648936559255,"96.0%","-1.0%",0.0168324468279628,-0.0378324468279627,FALSE,4001,160,118,42,-67,151
"India","IND","South Asia","Asia","LMIC","Accelerated transition phase","Gavi-eligible","95.1%",0.923214401591731,0.977838229987359,FALSE,0.0546238283956282,"87.0%","-8.1%",-0.0532144015917305,-0.107838229987359,TRUE,23368880,3037954,1156144,1881809,1243560,2520058
"Indonesia","IDN","East Asia & Pacific","Asia","LMIC","Fully self-financing","Not eligible","90.0%",0.855485657560589,0.944514342439411,FALSE,0.0890286848788211,"83.0%","-7.0%",-0.0254856575605895,-0.114514342439411,TRUE,4689610,797233,468960,328272,119517,537027
"Iran (Islamic Republic of)","IRN","Middle East & North Africa","Asia","LMIC","Never Gavi","Not eligible","98.7%",0.970570829770262,1.0024291702298,FALSE,0.0318583404595411,"99.0%","0.3%",0.0194291702297383,-0.0124291702298027,FALSE,1485489,14854,20054,-5199,-28861,18463
"Iraq","IRQ","Middle East & North Africa","Asia","UMIC","Never Gavi","Not eligible","89.8%",0.783092662783746,1.01297492071898,FALSE,0.229882257935229,"90.0%","0.2%",0.116907337216254,-0.112974920718975,FALSE,1110719,111071,113255,-2183,-129851,125483
"Ireland","IRL","Western Europe","Europe","HIC","Never Gavi","Not eligible","98.0%",0.969936526906236,0.990063473093764,FALSE,0.0201269461875271,"98.0%","0.0%",0.0100634730937635,-0.0100634730937635,FALSE,59191,1183,1183,0,-595,595
"Israel","ISR","Middle East & North Africa","Asia","HIC","Never Gavi","Not eligible","99.0%",0.959500493974396,1.0204995060256,FALSE,0.0609990120512088,"99.0%","0.0%",0.0304995060256045,-0.0304995060256044,FALSE,169839,1698,1698,0,-5180,5180
"Italy","ITA","Western Europe","Europe","HIC","Never Gavi","Not eligible","96.5%",0.943435707770781,0.98656429222922,FALSE,0.0431285844584393,"94.0%","-2.5%",-0.00343570777078073,-0.04656429222922,TRUE,436862,26211,15290,10921,1500,20342
"Jamaica","JAM","Latin America & Caribbean","Americas","UMIC","Never Gavi","Not eligible","97.1%",0.93215913650342,1.0108408634965,FALSE,0.0786817269930787,"97.0%","-0.1%",0.0378408634965798,-0.040840863496499,FALSE,45942,1378,1309,68,-1738,1876
"Japan","JPN","East Asia & Pacific","Asia","HIC","Never Gavi","Not eligible","98.2%",0.934159632850897,1.0298403671491,FALSE,0.0956807342982049,"98.0%","-0.2%",0.0458403671491026,-0.0498403671491023,FALSE,907427,18148,16333,1814,-41596,45226
"Jordan","JOR","Middle East & North Africa","Asia","UMIC","Never Gavi","Not eligible","97.4%",0.924579770520679,1.02342022947932,TRUE,0.0988404589586406,"78.0%","-19.4%",-0.144579770520679,-0.24342022947932,TRUE,210916,46401,5483,40917,30494,51341
"Kazakhstan","KAZ","Eastern Europe & Central Asia","Asia","UMIC","Never Gavi","Not eligible","97.3%",0.908254747916353,1.03874525208365,FALSE,0.130490504167294,"94.0%","-3.3%",0.0317452520836472,-0.0987452520836472,FALSE,365668,21940,9690,12249,-11608,36107
"Kenya","KEN","Eastern & Southern Africa","Africa","LMIC","Preparatory transition phase","Gavi-eligible","97.0%",0.916417126836728,1.02358287316327,FALSE,0.107165746326544,"94.0%","-3.0%",0.0235828731632722,-0.0835828731632722,FALSE,1455333,87319,43659,43659,-34320,121640
"Kiribati","KIR","East Asia & Pacific","Oceania","LMIC","Fully self-financing","Not eligible","94.6%",0.820907270465739,1.07023434042479,FALSE,0.249327069959055,"99.0%","4.4%",0.169092729534261,-0.0802343404247938,FALSE,3104,31,168,-137,-524,249
"Kyrgyzstan","KGZ","Eastern Europe & Central Asia","Asia","LMIC","Preparatory transition phase","Gavi-eligible","97.8%",0.950582052788313,1.00641794721169,FALSE,0.0558358944233731,"90.0%","-7.8%",-0.0505820527883132,-0.106417947211686,TRUE,148413,14841,3190,11650,7507,15793
"Lao People's Democratic Republic","LAO","East Asia & Pacific","Asia","LMIC","Accelerated transition phase","Gavi-eligible","86.0%",0.712847575251735,1.00715242474827,FALSE,0.29430484949653,"87.0%","1.0%",0.157152424748265,-0.137152424748265,FALSE,158882,20654,22243,-1588,-24968,21791
"Latvia","LVA","Western Europe","Europe","HIC","Never Gavi","Not eligible","97.3%",0.930295409736028,1.01570459026397,FALSE,0.085409180527944,"99.0%","1.7%",0.0597045902639719,-0.0257045902639721,FALSE,19599,195,529,-333,-1170,503
"Lebanon","LBN","Middle East & North Africa","Asia","UMIC","Never Gavi","Not eligible","96.0%",0.941994061149063,0.978005938850936,FALSE,0.036011877701873,"87.0%","-9.0%",-0.0719940611490635,-0.108005938850936,TRUE,114637,14902,4585,10317,8253,12381
"Lesotho","LSO","Eastern & Southern Africa","Africa","LMIC","Preparatory transition phase","Gavi-eligible","92.7%",0.880994810510611,0.973619754946149,FALSE,0.0926249444355376,"92.0%","-0.7%",0.0390051894893886,-0.053619754946149,FALSE,52510,4200,3817,383,-2048,2815
"Liberia","LBR","West & Central Africa","Africa","LIC","Initial self-financing","Gavi-eligible","86.0%",0.733457725572125,0.986542274427875,FALSE,0.25308454885575,"82.0%","-4.0%",0.0865422744278752,-0.166542274427875,FALSE,155704,28026,21798,6228,-13474,25931
"Libya","LBY","Middle East & North Africa","Africa","UMIC","Never Gavi","Not eligible","78.6%",0.670262854124711,0.901271485034896,TRUE,0.231008630910185,"74.0%","-4.6%",0.0697371458752891,-0.161271485034896,FALSE,120886,31430,25897,5532,-8430,19495
"Lithuania","LTU","Western Europe","Europe","HIC","Never Gavi","Not eligible","97.1%",0.944858551952939,0.99714144804706,FALSE,0.0522828960941211,"95.0%","-2.1%",0.00514144804706085,-0.0471414480470602,FALSE,27653,1382,801,580,-142,1303
"Luxembourg","LUX","Western Europe","Europe","HIC","Never Gavi","Not eligible","99.0%",0.99,0.99,FALSE,0,"99.0%","0.0%",0,0,TRUE,6479,64,64,0,0,0
"Madagascar","MDG","Eastern & Southern Africa","Africa","LIC","Initial self-financing","Gavi-eligible","74.6%",0.676332435498732,0.814682691101212,FALSE,0.138350255602481,"73.0%","-1.6%",0.0536675645012682,-0.0846826911012125,FALSE,868735,234558,221086,13471,-46622,73566
"Malawi","MWI","Eastern & Southern Africa","Africa","LIC","Initial self-financing","Gavi-eligible","96.8%",0.922386549386694,1.01420785652227,FALSE,0.0918213071355732,"95.0%","-1.8%",0.027613450613306,-0.0642078565222672,FALSE,618131,30906,19596,11310,-17068,39688
"Malaysia","MYS","East Asia & Pacific","Asia","UMIC","Never Gavi","Not eligible","98.7%",0.977706075992565,0.99666802756369,FALSE,0.0189619515711257,"99.0%","0.3%",0.0122939240074352,-0.00666802756369045,FALSE,528868,5288,6776,-1487,-6501,3526
"Maldives","MDV","South Asia","Asia","UMIC","Never Gavi","Not eligible","98.5%",0.972048125459289,0.99895187454071,FALSE,0.0269037490814208,"99.0%","0.5%",0.0179518745407107,-0.00895187454071011,FALSE,6795,67,98,-30,-121,60
"Mali","MLI","West & Central Africa","Africa","LIC","Initial self-financing","Gavi-eligible","81.3%",0.737911471492297,0.888313938276126,FALSE,0.150402466783829,"75.0%","-6.3%",0.0120885285077027,-0.138313938276126,FALSE,772691,193172,144406,48766,-9340,106873
"Malta","MLT","Western Europe","Europe","HIC","Never Gavi","Not eligible","97.4%",0.915068334979447,1.03383000576941,FALSE,0.11876167078996,"99.0%","1.6%",0.0749316650205533,-0.0438300057694063,FALSE,4321,43,110,-67,-323,189
"Mauritania","MRT","West & Central Africa","Africa","LMIC","Preparatory transition phase","Gavi-eligible","87.5%",0.774170412854828,0.976424781867286,FALSE,0.202254369012458,"79.0%","-8.5%",0.0158295871451722,-0.186424781867286,FALSE,145100,30470,18094,12376,-2296,27050
"Mauritius","MUS","Eastern & Southern Africa","Africa","UMIC","Never Gavi","Not eligible","96.8%",0.931019298654949,1.00494482831354,FALSE,0.073925529658595,"94.0%","-2.8%",0.00898070134505136,-0.0649448283135436,FALSE,12588,755,403,352,-113,817
"Mexico","MEX","Latin America & Caribbean","Americas","UMIC","Never Gavi","Not eligible","84.0%",0.776567982705959,0.903432017294041,FALSE,0.126864034588081,"79.0%","-5.0%",0.0134320172940408,-0.113432017294041,FALSE,2163632,454362,346181,108181,-29061,245425
