"un_region","sample_size","mean(predicts_2020)","mean(actuals_2020)","point_estimate","low_bound","upper_bound","p_value"
"Africa",46,0.869373505569667,0.841086956521739,-0.0282865490479278,-0.0384468183567914,-0.0181262797390641,1.19052199680378e-06
"Americas",27,0.946412805997217,0.905185185185185,-0.0412276208120321,-0.0633537061338041,-0.0191015354902602,0.000727073857515141
"Asia",39,0.949008332276052,0.920769230769231,-0.0282391015068209,-0.0407528726803112,-0.0157253303333305,5.0622261318717e-05
"Europe",26,0.965938751632399,0.961153846153846,-0.00478490547855259,-0.0122198653998853,0.00265005444278009,0.197006495116827
"Oceania",10,0.91763622377301,0.917,-0.000636223773010097,-0.0327729243229094,0.0315004767768892,0.965256713135134
