"gavi_binary","sample_size","mean(predicts_2020)","mean(actuals_2020)","point_estimate","low_bound","upper_bound","p_value"
"Gavi-eligible",51,0.870272260302999,0.84156862745098,-0.0287036328520191,-0.0391343650969221,-0.0182729006071161,1.1766212884298e-06
"Not eligible",97,0.95322202558366,0.930721649484536,-0.0225003760991243,-0.031025902986699,-0.0139748492115495,9.55576244624618e-07
