"country","iso_code","region","income_group","gavi_status","predicts_2020","predicts_lower","predicts_upper","actuals_2020","cov_delta_mean","cov_delta_high","cov_delta_low","confidence_95_level","ci_width"
"Afghanistan","AFG","South Asia","Low income","Initial self-financing",0.75,0.66770088074754,0.83229911925246,0.78,0.03,-0.0522991192524596,0.11229911925246,FALSE,0.164598238504919
"Andorra","AND","Western Europe","High income","Never Gavi",0.983999999999951,0.959869432571895,1.00813056742801,0.99,0.00600000000004886,-0.018130567428007,0.0301305674281047,FALSE,0.0482611348561117
"Angola","AGO","Eastern & Southern Africa","Lower middle income","Fully self-financing",0.67,0.557229038935711,0.782770961064289,0.61,-0.0600000000000001,-0.172770961064289,0.0527709610642888,FALSE,0.225541922128578
"Antigua and Barbuda","ATG","Latin America & Caribbean","High income","Never Gavi",0.986,0.969912955047962,1.00208704495204,0.98,-0.00599999999999967,-0.0220870449520369,0.0100870449520376,FALSE,0.0321740899040746
"Argentina","ARG","Latin America & Caribbean","Upper middle income","Never Gavi",0.87,0.820947450170268,0.919052549829732,0.79,-0.08,-0.129052549829732,-0.0309474501702677,TRUE,0.0981050996594646
"Australia","AUS","East Asia & Pacific","High income","Never Gavi",0.974707187313918,0.943623257061043,1.00579111756679,0.98,0.00529281268608173,-0.0257911175667933,0.0363767429389568,FALSE,0.0621678605057501
"Austria","AUT","Western Europe","High income","Never Gavi",0.952500000000075,0.878376474559035,1.02662352544112,0.9,-0.0525000000000752,-0.126623525441116,0.0216235254409652,FALSE,0.148247050882081
"Azerbaijan","AZE","Eastern Europe & Central Asia","Upper middle income","Fully self-financing",0.966842105263065,0.931024828038445,1.00265938248768,0.85,-0.116842105263065,-0.152659382487684,-0.0810248280384454,TRUE,0.0716345544492388
"Bahrain","BHR","Middle East & North Africa","High income","Never Gavi",0.986,0.974274651844307,0.997725348155693,0.99,0.00400000000000034,-0.00772534815569259,0.0157253481556933,FALSE,0.0234506963113859
"Bangladesh","BGD","South Asia","Lower middle income","Preparatory transition phase",0.99,0.967078632557833,1.0268800109565,0.99,0,-0.0368800109565037,0.0229213674421666,FALSE,0.0598013783986703
"Barbados","BRB","Latin America & Caribbean","High income","Never Gavi",0.941500000000068,0.874421230100106,1.00857876990003,0.86,-0.081500000000068,-0.148578769900029,-0.0144212301001064,TRUE,0.134157539799923
"Belarus","BLR","Eastern Europe & Central Asia","Upper middle income","Never Gavi",0.973,0.864692095643297,1.0813079043567,0.97,-0.00299999999999956,-0.111307904356702,0.105307904356703,FALSE,0.216615808713406
"Belize","BLZ","Latin America & Caribbean","Lower middle income","Never Gavi",0.9725,0.929902067683161,1.01509793231684,0.79,-0.1825,-0.225097932316839,-0.139902067683161,TRUE,0.0851958646336777
"Benin","BEN","West & Central Africa","Lower middle income","Initial self-financing",0.849137496143412,0.803678506194763,0.894596486092062,0.83,-0.0191374961434123,-0.0645964860920619,0.0263214938052373,FALSE,0.0909179798972992
"Bhutan","BTN","South Asia","Lower middle income","Fully self-financing",0.98613576777218,0.953291120304536,1.01898041523982,0.96,-0.02613576777218,-0.0589804152398239,0.00670887969546397,FALSE,0.0656892949352879
"Bolivia (Plurinational State of)","BOL","Latin America & Caribbean","Lower middle income","Fully self-financing",0.867540617688473,0.779927614672854,0.955153620704093,0.79,-0.0775406176884734,-0.165153620704093,0.0100723853271459,FALSE,0.175226006031239
"Botswana","BWA","Eastern & Southern Africa","Upper middle income","Never Gavi",0.98,0.98,0.98,0.98,0,0,0,TRUE,0
"Brazil","BRA","Latin America & Caribbean","Upper middle income","Never Gavi",0.79,0.72180626750284,0.85819373249716,0.88,0.09,0.02180626750284,0.15819373249716,TRUE,0.13638746499432
"Brunei Darussalam","BRN","East Asia & Pacific","High income","Never Gavi",0.989,0.982967358142986,0.995032641857014,0.99,0.00100000000000022,-0.0050326418570138,0.00703264185701424,FALSE,0.012065283714028
"Bulgaria","BGR","Eastern Europe & Central Asia","Upper middle income","Never Gavi",0.953999999999934,0.92132705724807,0.986672942751798,0.94,-0.0139999999999338,-0.0466729427517978,0.0186729427519301,FALSE,0.0653458855037279
"Burkina Faso","BFA","West & Central Africa","Low income","Initial self-financing",0.944695276949147,0.907162865288409,0.982227688609886,0.95,0.00530472305085261,-0.0322276886098859,0.0428371347115911,FALSE,0.075064823321477
"Burundi","BDI","Eastern & Southern Africa","Low income","Initial self-financing",0.967927566881801,0.936560244246727,0.999294889516876,0.98,0.0120724331181985,-0.0192948895168757,0.0434397557532727,FALSE,0.0627346452701485
"Cabo Verde","CPV","West & Central Africa","Lower middle income","Never Gavi",0.965005978702377,0.928169313678075,1.00184264372668,0.93,-0.0350059787023773,-0.0718426437266794,0.00183068632192473,FALSE,0.0736733300486041
"Cambodia","KHM","East Asia & Pacific","Lower middle income","Preparatory transition phase",0.94,0.805105571297551,1.07489442870245,0.94,0,-0.134894428702449,0.134894428702449,FALSE,0.269788857404897
"Cameroon","CMR","West & Central Africa","Lower middle income","Preparatory transition phase",0.750993279440368,0.675406854677078,0.826579704203658,0.77,0.0190067205596322,-0.0565797042036578,0.0945931453229221,FALSE,0.15117284952658
"Canada","CAN","North America","High income","Never Gavi",0.941339399012465,0.933430579817866,0.949248218207064,0.94,-0.00133939901246516,-0.00924821820706445,0.00656942018213413,FALSE,0.0158176383891986
"Central African Republic","CAF","West & Central Africa","Low income","Initial self-financing",0.54,0.35746322698177,0.72253677301823,0.54,0,-0.18253677301823,0.18253677301823,FALSE,0.36507354603646
"Chad","TCD","West & Central Africa","Low income","Initial self-financing",0.65,0.53465868310091,0.76534131689909,0.69,0.0399999999999999,-0.0753413168990901,0.15534131689909,FALSE,0.23068263379818
"Chile","CHL","Latin America & Caribbean","High income","Never Gavi",0.966855095104702,0.920072901752283,1.01363728845712,0.98,0.0131449048952978,-0.0336372884571217,0.0599270982477174,FALSE,0.093564386704839
"China","CHN","East Asia & Pacific","Upper middle income","Never Gavi",0.99,0.97145577930175,1.00854422069825,0.99,0,-0.0185442206982505,0.0185442206982505,FALSE,0.0370884413965009
"Colombia","COL","Latin America & Caribbean","Upper middle income","Never Gavi",0.936,0.864790972178268,1.00720902782173,0.92,-0.0159999999999999,-0.0872090278217322,0.0552090278217323,FALSE,0.142418055643465
"Comoros","COM","Eastern & Southern Africa","Lower middle income","Initial self-financing",0.96,0.857675031696923,1.06232496830308,0.93,-0.0299999999999999,-0.132324968303077,0.0723249683030774,FALSE,0.204649936606155
"Congo","COG","West & Central Africa","Lower middle income","Initial self-financing",0.82,0.699934931717899,0.940065068282101,0.77,-0.0499999999999999,-0.170065068282101,0.0700650682821015,FALSE,0.240130136564203
"Costa Rica","CRI","Latin America & Caribbean","Upper middle income","Never Gavi",0.9335,0.85899558405099,1.00800441594901,0.96,0.0265000000000002,-0.0480044159490092,0.10100441594901,FALSE,0.149008831898019
"Cote d'Ivoire","CIV","West & Central Africa","Lower middle income","Preparatory transition phase",0.98,0.823266900992465,1.13673309900754,0.93,-0.0499999999999999,-0.206733099007535,0.106733099007535,FALSE,0.313466198015071
"Cuba","CUB","Latin America & Caribbean","Upper middle income","Fully self-financing",0.980501381972374,0.928856326006366,1.03214643793838,0.99,0.00949861802762619,-0.0421464379383816,0.0611436739936341,FALSE,0.103290111932016
"Democratic People's Republic of Korea","PRK","East Asia & Pacific","Low income","Initial self-financing",0.97,0.919603822204384,1.02039617779562,0.98,0.00999999999999979,-0.0403961777956161,0.0603961777956158,FALSE,0.100792355591232
"Democratic Republic of the Congo","COD","West & Central Africa","Low income","Initial self-financing",0.656909698329136,0.529935467562186,0.783883929096086,0.66,0.00309030167086399,-0.123883929096086,0.130064532437814,FALSE,0.2539484615339
"Denmark","DNK","Western Europe","High income","Never Gavi",0.967054636661208,0.925369123215411,1.00874015010701,0.97,0.00294536333879158,-0.0387401501070062,0.0446308767845893,FALSE,0.0833710268915955
"Djibouti","DJI","Eastern & Southern Africa","Lower middle income","Preparatory transition phase",0.9,0.765706566343127,1.03429343365687,0.76,-0.14,-0.274293433656873,-0.00570656634312661,TRUE,0.268586867313747
