"income_group","sample_size","mean(predicts_2020)","mean(actuals_2020)","point_estimate","low_bound","upper_bound","p_value"
"LIC",25,0.834789941705668,0.8168,-0.017989941705668,-0.0315985512131038,-0.00438133219823214,0.0117174542215085
"LMIC",47,0.913940376113938,0.877234042553191,-0.0367063335607467,-0.0502125818869301,-0.0232000852345633,1.78560155151734e-06
"UMIC",45,0.948751015037075,0.922666666666667,-0.0260843483704081,-0.0390633576375488,-0.0131053391032674,0.000204452295321844
"HIC",50,0.975235141300115,0.9692,-0.00603514130011548,-0.0128233523104586,0.000753069710227617,0.0801834693466008
