"un_region","sample_size","mean(predicts_2020)","mean(actuals_2020)","point_estimate","low_bound","upper_bound","p_value"
"Africa",46,0.806629691998901,0.779130434782609,-0.0274992572162926,-0.0376403232324981,-0.0173581912000871,1.95139015659406e-06
"Americas",27,0.921018637019855,0.864074074074074,-0.056944562945781,-0.0818760302436881,-0.0320130956478739,7.52021552091492e-05
"Asia",39,0.920602076370771,0.882820512820513,-0.0377815635502585,-0.0526711724700274,-0.0228919546304897,8.6534166479226e-06
"Europe",26,0.939726868821435,0.937692307692308,-0.00203456112912731,-0.00760794402119042,0.00353882176293581,0.459171286112913
"Oceania",10,0.868034180336628,0.864,-0.00403418033662811,-0.0375617064886797,0.0294933458154235,0.791615304942295
