"gavi_status","sample_size","mean(predicts_2020)","mean(actuals_2020)","point_estimate","low_bound","upper_bound","p_value"
"Accelerated transition phase",7,0.791702438794403,0.767142857142857,-0.0245595816515464,-0.0614400421386422,0.0123208788355495,0.154338885523564
"Fully self-financing",16,0.897359243356289,0.8575,-0.0398592433562893,-0.0658771343583903,-0.0138413523541884,0.00521641630196901
"Initial self-financing",30,0.782005696499539,0.753666666666667,-0.0283390298328725,-0.0411720743444987,-0.0155059853212462,9.7021292795897e-05
"Never Gavi",99,0.933291695777555,0.906868686868687,-0.0264230089088686,-0.0363609122758961,-0.0164851055418412,7.90083077692881e-07
"Preparatory transition phase",15,0.878850471303403,0.839333333333333,-0.0395171379700702,-0.0625113137223543,-0.0165229622177861,0.00244429707229879
