"gavi_binary","sample_size","mean(predicts_2020)","mean(actuals_2020)","point_estimate","low_bound","upper_bound","p_value"
"Gavi-eligible",51,0.811546170168538,0.780980392156863,-0.0305657780116749,-0.0410054284469975,-0.0201261275763522,3.35157517560283e-07
"Not eligible",97,0.923714801279111,0.894742268041237,-0.0289725332378742,-0.0390659837486199,-0.0188790827271286,1.32906596107055e-07
