"gavi_status","sample_size","mean(predicts_2020)","mean(actuals_2020)","point_estimate","low_bound","upper_bound","p_value"
"Accelerated transition phase",7,0.837663794776666,0.818571428571429,-0.0190923662052373,-0.0559776487972269,0.0177929163867522,0.252259587911451
"Fully self-financing",15,0.929599117659922,0.9,-0.0295991176599223,-0.0542856862096643,-0.00491254911018037,0.0221685899097595
"Initial self-financing",29,0.847365116425849,0.824827586206897,-0.0225375302189527,-0.034987756737328,-0.0100873037005775,0.000913922036877031
"Never Gavi",82,0.957543289228247,0.936341463414634,-0.0212018258136124,-0.0304360596155119,-0.0119675920117129,1.73807303927009e-05
"Preparatory transition phase",15,0.929776689044445,0.884666666666667,-0.0451100223777788,-0.0677709809657291,-0.0224490637898285,0.00077813810663729
