"country","iso_code","Y2019","Y2020","delta"
"Madagascar","MDG",0.7,0.697013487417753,-0.00298651258224725
"Malawi","MWI",0.95,0.889,-0.0609999999999999
"Malaysia","MYS",0.98,0.978693443582734,-0.00130655641726629
"Maldives","MDV",0.98,0.978899699581268,-0.0011003004187321
"Mali","MLI",0.77,0.754712832452493,-0.0152871675475071
"Malta","MLT",0.98,0.965762734730867,-0.0142372652691332
"Marshall Islands","MHL",0.79,0.775773170334345,-0.0142268296656554
"Mauritania","MRT",0.81,0.7415,-0.0685000000000002
"Mauritius","MUS",0.96,0.958746533380357,-0.00125346661964321
"Mexico","MEX",0.82,0.82,0
"Micronesia (Federated States of)","FSM",0.78,0.8025,0.0224999999999999
"Monaco","MCO",0.99,0.99,0
"Mongolia","MNG",0.98,0.977852256655002,-0.0021477433449979
"Morocco","MAR",0.99,0.99,0
"Mozambique","MOZ",0.88,0.88,0
"Myanmar","MMR",0.9,0.9,0
"Namibia","NAM",0.87,0.87,0
"Nauru","NRU",0.96,0.96,0
"Nepal","NPL",0.93,0.947509292037551,0.0175092920375509
"Netherlands","NLD",0.94,0.94,0
"New Zealand","NZL",0.92,0.92,0
"Nicaragua","NIC",0.98,0.98,0
"Niger","NER",0.81,0.834736842105367,0.0247368421053666
"Nigeria","NGA",0.57,0.57,0
"Norway","NOR",0.97,0.97,0
"Oman","OMN",0.99,0.987999999999984,-0.00200000000001643
"Pakistan","PAK",0.84,0.84,0
"Palau","PLW",0.97,0.945618704250238,-0.024381295749762
"Panama","PAN",0.88,0.88,0
"Papua New Guinea","PNG",0.35,0.35,0
"Paraguay","PRY",0.86,0.880554932716614,0.0205549327166138
"Peru","PER",0.88,0.901,0.0209999999999999
"Philippines","PHL",0.77,0.795118189239116,0.0251181892391156
"Poland","POL",0.95,0.944692963064354,-0.0053070369356456
"Portugal","PRT",0.99,0.99,0
"Qatar","QAT",0.98,0.949,-0.0310000000000004
"Republic of Korea","KOR",0.98,0.964,-0.0160000000000002
"Republic of Moldova","MDA",0.91,0.91,0
"Republic of North Macedonia","MKD",0.92,0.944,0.0239999999999997
"Romania","ROU",0.88,0.88,0
"Russian Federation","RUS",0.97,0.969988955661013,-1.10443389872428e-05
"Rwanda","RWA",0.98,0.977454399631654,-0.00254560036834639
"Saint Kitts and Nevis","KNA",0.97,0.977999999999999,0.00799999999999945
"Saint Lucia","LCA",0.92,0.944679856932445,0.0246798569324448
"Saint Vincent and the Grenadines","VCT",0.97,0.981852094462693,0.0118520944626934
"Samoa","WSM",0.58,0.644291518087239,0.0642915180872385
"San Marino","SMR",0.88,0.88,0
"Sao Tome and Principe","STP",0.95,0.946890938111494,-0.0031090618885059
"Saudi Arabia","SAU",0.96,0.96,0
"Senegal","SEN",0.95,0.972631578947358,0.0226315789473578
"Serbia","SRB",0.97,0.936500000000051,-0.0334999999999495
"Seychelles","SYC",0.99,0.984602706939938,-0.00539729306006165
"Sierra Leone","SLE",0.95,0.95,0
"Singapore","SGP",0.96,0.962,0.00200000000000045
"Slovakia","SVK",0.97,0.976196713136292,0.00619671313629166
"Slovenia","SVN",0.95,0.948703815779011,-0.00129618422098932
"Solomon Islands","SLB",0.94,0.869,-0.071
"Somalia","SOM",0.42,0.42,0
"South Africa","ZAF",0.85,0.85,0
"Spain","ESP",0.96,0.965499999999964,0.00549999999996442
"Sri Lanka","LKA",0.99,0.99,0
"State of Palestine","PSE",0.99,0.99,0
"Sudan","SDN",0.93,0.946315789473643,0.0163157894736433
"Suriname","SUR",0.77,0.773675699474721,0.00367569947472079
"Sweden","SWE",0.98,0.98,0
"Switzerland","CHE",0.96,0.961578947368421,0.00157894736842112
"Syrian Arab Republic","SYR",0.54,0.54,0
"Tajikistan","TJK",0.97,0.97,0
"Thailand","THA",0.97,0.972161830630472,0.00216183063047171
"Togo","TGO",0.84,0.84,0
"Tonga","TON",0.99,0.980907687541105,-0.00909231245889475
"Trinidad and Tobago","TTO",0.93,0.923499999999941,-0.00650000000005868
"Tunisia","TUN",0.92,0.92,0
"Turkey","TUR",0.99,0.99,0
"Turkmenistan","TKM",0.99,0.968500000000069,-0.0214999999999315
"Tuvalu","TUV",0.92,0.934499999999912,0.0144999999999119
"Uganda","UGA",0.93,0.961843376492923,0.0318433764929232
"Ukraine","UKR",0.8,0.8,0
"United Arab Emirates","ARE",0.99,0.99,0
"United Kingdom","GBR",0.93,0.93,0
"United Republic of Tanzania","TZA",0.89,0.88996367593717,-3.6324062830273e-05
"United States","USA",0.94,0.943460432663896,0.00346043266389628
"Uruguay","URY",0.94,0.949399001685293,0.00939900168529262
"Uzbekistan","UZB",0.96,0.968232861034553,0.00823286103455323
"Vanuatu","VUT",0.9,0.909999999999988,0.0099999999999878
"Venezuela (Bolivarian Republic of)","VEN",0.64,0.713930774001799,0.0739307740017994
"Viet Nam","VNM",0.89,0.911,0.0209999999999999
"Yemen","YEM",0.73,0.764389001312075,0.034389001312075
"Zambia","ZMB",0.88,0.863372861859975,-0.0166271381400247
"Zimbabwe","ZWE",0.9,0.9,0
