"income_group","sample_size","mean(predicts_2020)","mean(actuals_2020)","point_estimate","low_bound","upper_bound","p_value"
"LIC",25,0.765279095696888,0.7408,-0.0244790956968885,-0.0380085096117461,-0.0109496817820309,0.00102828133405791
"LMIC",47,0.869458315591822,0.831063829787234,-0.0383944858045875,-0.0517491705446846,-0.0250398010644904,6.03240040440007e-07
"UMIC",45,0.917408886638723,0.873333333333333,-0.0440755533053899,-0.0622847839501131,-0.0258663226606667,1.4401131217484e-05
"HIC",50,0.953171053755926,0.9438,-0.00937105375592608,-0.0169253561786045,-0.00181675133324763,0.0160998234837963
