"Country","ISO code","ARIMA model fit","Expected 2020 coverage","Expected: 95% Confidence interval - lower bound","Expected: 95% Confidence interval - upper bound"
"Guinea-Bissau","GNB","ARIMA(0,2,1)","84.0%","79.9%","88.1%"
"Guyana","GUY","ARIMA(0,1,1)","98.3%","94.4%","102.2%"
"Haiti","HTI","ARIMA(1,0,0) with non-zero mean","75.7%","70.0%","81.4%"
"Honduras","HND","ARIMA(1,0,0) with non-zero mean","90.5%","86.3%","94.7%"
"Hungary","HUN","ARIMA(0,0,0) with non-zero mean","99.0%","99.0%","99.0%"
"Iceland","ISL","ARIMA(0,0,0) with non-zero mean","97.0%","94.3%","99.8%"
"India","IND","ARIMA(0,1,0) with drift","95.1%","92.3%","97.8%"
"Indonesia","IDN","ARIMA(0,1,0)","90.0%","85.5%","94.5%"
"Iran (Islamic Republic of)","IRN","ARIMA(0,0,0) with non-zero mean","98.7%","97.1%","100.2%"
"Iraq","IRQ","ARIMA(0,0,1) with non-zero mean","89.8%","78.3%","101.3%"
"Ireland","IRL","ARIMA(0,1,0)","98.0%","97.0%","99.0%"
"Israel","ISR","ARIMA(0,1,0)","99.0%","96.0%","102.0%"
"Italy","ITA","ARIMA(0,0,0) with non-zero mean","96.5%","94.3%","98.7%"
"Jamaica","JAM","ARIMA(0,0,0) with non-zero mean","97.1%","93.2%","101.1%"
"Japan","JPN","ARIMA(0,0,0) with non-zero mean","98.2%","93.4%","103.0%"
"Jordan","JOR","ARIMA(0,0,0) with non-zero mean","97.4%","92.5%","102.3%"
"Kazakhstan","KAZ","ARIMA(0,0,0) with non-zero mean","97.3%","90.8%","103.9%"
"Kenya","KEN","ARIMA(0,1,0)","97.0%","91.6%","102.4%"
"Kiribati","KIR","ARIMA(0,0,1) with non-zero mean","94.6%","82.1%","107.0%"
"Kuwait","KWT","ARIMA(0,0,0) with non-zero mean","98.8%","97.8%","99.8%"
"Kyrgyzstan","KGZ","ARIMA(0,0,0) with non-zero mean","97.8%","95.1%","100.6%"
"Lao People's Democratic Republic","LAO","ARIMA(0,1,0)","86.0%","71.3%","100.7%"
"Latvia","LVA","ARIMA(0,0,0) with non-zero mean","97.3%","93.0%","101.6%"
"Lebanon","LBN","ARIMA(1,1,0)","96.0%","94.2%","97.8%"
"Lesotho","LSO","ARIMA(0,0,2) with non-zero mean","92.7%","88.1%","97.4%"
"Liberia","LBR","ARIMA(0,1,0)","86.0%","73.3%","98.7%"
"Libya","LBY","ARIMA(1,0,0) with non-zero mean","78.6%","67.0%","90.1%"
"Lithuania","LTU","ARIMA(0,0,0) with non-zero mean","97.1%","94.5%","99.7%"
"Luxembourg","LUX","ARIMA(0,0,0) with non-zero mean","99.0%","99.0%","99.0%"
"Madagascar","MDG","ARIMA(1,0,0) with non-zero mean","74.6%","67.6%","81.5%"
"Malawi","MWI","ARIMA(1,0,0) with non-zero mean","96.8%","92.2%","101.4%"
"Malaysia","MYS","ARIMA(0,0,1) with non-zero mean","98.7%","97.8%","99.7%"
"Maldives","MDV","ARIMA(0,0,0) with non-zero mean","98.5%","97.2%","99.9%"
