"gavi_binary","sample_size","mean(predicts_2020)","mean(actuals_2020)","point_estimate","low_bound","upper_bound","p_value"
"Gavi-eligible",52,0.811247019924963,0.780192307692308,-0.0310547122326548,-0.041333635445996,-0.0207757890193137,1.62032114947224e-07
"Not eligible",115,0.928292398049379,0.9,-0.0282923980493793,-0.0374728924410213,-0.0191119036577374,1.45684042156979e-08
