"country","iso_code","region","income_group","gavi_status","predicts_2020","actuals_2020","cov_delta"
"Israel","ISR","Middle East & North Africa","HIC","Never Gavi",0.98,0.98,0
"Italy","ITA","Western Europe","HIC","Never Gavi",0.95557327371595,0.94,-0.01557327371595
"Jamaica","JAM","Latin America & Caribbean","UMIC","Never Gavi",0.9475,0.96,0.0125000000000001
"Japan","JPN","East Asia & Pacific","HIC","Never Gavi",0.974766656281896,0.96,-0.0147666562818962
"Kazakhstan","KAZ","Eastern Europe & Central Asia","UMIC","Never Gavi",0.9595,0.88,-0.0794999999999998
"Kenya","KEN","Eastern & Southern Africa","LMIC","Gavi - PT",0.91,0.89,-0.02
"Kiribati","KIR","East Asia & Pacific","LMIC","Gavi - FSF",0.926815411575038,0.92,-0.00681541157503818
"Kyrgyzstan","KGZ","Eastern Europe & Central Asia","LMIC","Gavi - PT",0.953469585030834,0.87,-0.0834695850308345
"Lao People's Democratic Republic","LAO","East Asia & Pacific","LMIC","Gavi - AT",0.8,0.79,-0.01
"Latvia","LVA","Western Europe","HIC","Never Gavi",0.981638022303634,0.99,0.00836197769636571
"Lebanon","LBN","Middle East & North Africa","UMIC","Never Gavi",0.83,0.71,-0.12
"Lesotho","LSO","Eastern & Southern Africa","LMIC","Gavi - PT",0.878188658631,0.87,-0.00818865863099982
"Liberia","LBR","West & Central Africa","LIC","Gavi - ISF",0.7,0.65,-0.0499999999999999
"Lithuania","LTU","Western Europe","HIC","Never Gavi",0.931993907379336,0.91,-0.0219939073793357
"Luxembourg","LUX","Western Europe","HIC","Never Gavi",0.9895,0.99,0.000499999999999945
"Madagascar","MDG","Eastern & Southern Africa","LIC","Gavi - ISF",0.697013487417753,0.68,-0.0170134874177527
"Malawi","MWI","Eastern & Southern Africa","LIC","Gavi - ISF",0.889,0.94,0.0509999999999999
"Malaysia","MYS","East Asia & Pacific","UMIC","Never Gavi",0.978693443582734,0.98,0.00130655641726629
"Maldives","MDV","South Asia","UMIC","Never Gavi",0.978899699581268,0.99,0.0111003004187321
"Mali","MLI","West & Central Africa","LIC","Gavi - ISF",0.754712832452493,0.7,-0.0547128324524929
"Malta","MLT","Western Europe","HIC","Never Gavi",0.965762734730867,0.98,0.0142372652691332
"Mauritania","MRT","West & Central Africa","LMIC","Gavi - PT",0.7415,0.71,-0.0314999999999999
"Mauritius","MUS","Eastern & Southern Africa","UMIC","Never Gavi",0.958746533380357,0.93,-0.0287465333803567
"Mexico","MEX","Latin America & Caribbean","UMIC","Never Gavi",0.82,0.74,-0.08
"Micronesia (Federated States of)","FSM","East Asia & Pacific","LMIC","Never Gavi",0.8025,0.83,0.0275000000000001
"Mongolia","MNG","East Asia & Pacific","LMIC","Gavi - FSF",0.977852256655002,0.96,-0.0178522566550021
"Mozambique","MOZ","Eastern & Southern Africa","LIC","Gavi - ISF",0.88,0.79,-0.09
"Myanmar","MMR","East Asia & Pacific","LMIC","Gavi - PT",0.9,0.84,-0.0600000000000001
"Nauru","NRU","East Asia & Pacific","HIC","Never Gavi",0.96,0.95,-0.01
"Nepal","NPL","South Asia","LMIC","Gavi - ISF",0.947509292037551,0.84,-0.107509292037551
"New Zealand","NZL","East Asia & Pacific","HIC","Never Gavi",0.92,0.92,0
"Nicaragua","NIC","Latin America & Caribbean","LMIC","Gavi - AT",0.98,0.92,-0.0599999999999999
"Niger","NER","West & Central Africa","LIC","Gavi - ISF",0.834736842105367,0.81,-0.0247368421053666
"Nigeria","NGA","West & Central Africa","LMIC","Gavi - AT",0.57,0.57,0
"Norway","NOR","Western Europe","HIC","Never Gavi",0.97,0.97,0
"Pakistan","PAK","South Asia","LMIC","Gavi - PT",0.84,0.77,-0.07
"Palau","PLW","East Asia & Pacific","HIC","Never Gavi",0.945618704250238,0.96,0.014381295749762
"Panama","PAN","Latin America & Caribbean","UMIC","Never Gavi",0.88,0.74,-0.14
"Papua New Guinea","PNG","East Asia & Pacific","LMIC","Gavi - AT",0.35,0.39,0.04
"Paraguay","PRY","Latin America & Caribbean","UMIC","Never Gavi",0.880554932716614,0.79,-0.0905549327166137
"Philippines","PHL","East Asia & Pacific","LMIC","Never Gavi",0.795118189239116,0.71,-0.0851181892391156
"Qatar","QAT","Middle East & North Africa","HIC","Never Gavi",0.949,0.82,-0.129
"Republic of Moldova","MDA","Eastern Europe & Central Asia","UMIC","Gavi - FSF",0.91,0.86,-0.05
"Romania","ROU","Eastern Europe & Central Asia","UMIC","Never Gavi",0.88,0.87,-0.01
"Russian Federation","RUS","Eastern Europe & Central Asia","UMIC","Never Gavi",0.969988955661013,0.97,1.10443389872428e-05
"Rwanda","RWA","Eastern & Southern Africa","LIC","Gavi - ISF",0.977454399631654,0.91,-0.0674543996316536
"Saint Kitts and Nevis","KNA","Latin America & Caribbean","HIC","Never Gavi",0.977999999999999,0.99,0.0120000000000006
"Saint Lucia","LCA","Latin America & Caribbean","UMIC","Never Gavi",0.944679856932445,0.86,-0.0846798569324448
"Saint Vincent and the Grenadines","VCT","Latin America & Caribbean","UMIC","Never Gavi",0.981852094462693,0.97,-0.0118520944626934
"San Marino","SMR","Western Europe","HIC","Never Gavi",0.88,0.89,0.01
"Saudi Arabia","SAU","Middle East & North Africa","HIC","Never Gavi",0.96,0.95,-0.01
"Senegal","SEN","West & Central Africa","LMIC","Gavi - PT",0.972631578947358,0.91,-0.0626315789473577
"Seychelles","SYC","Eastern & Southern Africa","HIC","Never Gavi",0.984602706939938,0.97,-0.0146027069399384
"Sierra Leone","SLE","West & Central Africa","LIC","Gavi - ISF",0.95,0.91,-0.0399999999999999
"Slovakia","SVK","Western Europe","HIC","Never Gavi",0.976196713136292,0.97,-0.00619671313629166
"Slovenia","SVN","Western Europe","HIC","Never Gavi",0.948703815779011,0.95,0.00129618422098932
"Somalia","SOM","Eastern & Southern Africa","LIC","Gavi - ISF",0.42,0.42,0
"South Africa","ZAF","Eastern & Southern Africa","UMIC","Never Gavi",0.85,0.84,-0.01
"Spain","ESP","Western Europe","HIC","Never Gavi",0.965499999999964,0.98,0.0145000000000356
"Sri Lanka","LKA","South Asia","LMIC","Gavi - FSF",0.99,0.96,-0.03
"State of Palestine","PSE","Middle East & North Africa","LMIC","Never Gavi",0.99,0.99,0
"Sudan","SDN","Eastern & Southern Africa","LIC","Gavi - AT",0.946315789473643,0.9,-0.0463157894736433
"Sweden","SWE","Western Europe","HIC","Never Gavi",0.98,0.97,-0.01
"Switzerland","CHE","Western Europe","HIC","Never Gavi",0.961578947368421,0.96,-0.00157894736842112
"Syrian Arab Republic","SYR","Middle East & North Africa","LIC","Gavi - ISF",0.54,0.49,-0.05
"Tajikistan","TJK","Eastern Europe & Central Asia","LMIC","Gavi - ISF",0.97,0.97,0
"Togo","TGO","West & Central Africa","LIC","Gavi - ISF",0.84,0.82,-0.02
"Tonga","TON","East Asia & Pacific","UMIC","Never Gavi",0.980907687541105,0.99,0.00909231245889475
"Tunisia","TUN","Middle East & North Africa","LMIC","Never Gavi",0.92,0.92,0
"Turkey","TUR","Eastern Europe & Central Asia","UMIC","Never Gavi",0.99,0.98,-0.01
"Turkmenistan","TKM","Eastern Europe & Central Asia","UMIC","Never Gavi",0.968500000000069,0.98,0.0114999999999315
"Tuvalu","TUV","East Asia & Pacific","UMIC","Never Gavi",0.934499999999912,0.95,0.015500000000088
"Uganda","UGA","Eastern & Southern Africa","LIC","Gavi - ISF",0.961843376492923,0.89,-0.0718433764929233
"Ukraine","UKR","Eastern Europe & Central Asia","LMIC","Gavi - FSF",0.8,0.81,0.01
"United Arab Emirates","ARE","Middle East & North Africa","HIC","Never Gavi",0.99,0.9,-0.09
"United Kingdom","GBR","Western Europe","HIC","Never Gavi",0.93,0.93,0
"United Republic of Tanzania","TZA","Eastern & Southern Africa","LMIC","Gavi - PT",0.88996367593717,0.86,-0.0299636759371698
"United States","USA","North America","HIC","Never Gavi",0.943460432663896,0.93,-0.0134604326638962
"Uruguay","URY","Latin America & Caribbean","HIC","Never Gavi",0.949399001685293,0.92,-0.0293990016852925
"Uzbekistan","UZB","Eastern Europe & Central Asia","LMIC","Gavi - AT",0.968232861034553,0.95,-0.0182328610345532
"Vanuatu","VUT","East Asia & Pacific","LMIC","Never Gavi",0.909999999999988,0.78,-0.129999999999988
"Viet Nam","VNM","East Asia & Pacific","LMIC","Gavi - FSF",0.911,0.94,0.029
"Yemen","YEM","Middle East & North Africa","LIC","Gavi - ISF",0.764389001312075,0.72,-0.044389001312075
"Zambia","ZMB","Eastern & Southern Africa","LMIC","Gavi - PT",0.863372861859975,0.84,-0.0233728618599753
"Zimbabwe","ZWE","Eastern & Southern Africa","LMIC","Gavi - ISF",0.9,0.86,-0.04
