"un_region","sample_size","mean(predicts_2020)","mean(actuals_2020)","point_estimate","low_bound","upper_bound","p_value"
"Africa",47,0.806403323179832,0.778297872340426,-0.0281054508394062,-0.0380972394633657,-0.0181136622154467,9.27042383879541e-07
"Americas",29,0.919658312878685,0.857931034482759,-0.0617272783959261,-0.0864429138662132,-0.037011642925639,2.02022655598894e-05
"Asia",42,0.923453574809655,0.888095238095238,-0.0353583367144168,-0.0494190786686564,-0.0212975947601772,8.70962769834529e-06
"Europe",38,0.945053463249235,0.938947368421053,-0.00610609482818263,-0.0131188467989679,0.000906657142602637,0.0859482268917758
"Oceania",11,0.879121982124207,0.875454545454545,-0.00366743666966191,-0.0335493461423758,0.026214472803052,0.790063164601558
