unicef_region,iso3,country,vaccine,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
WCAR,CMR,Cameroon,DTP1,76,77,75,76,83,83,86,90,95,94,90,92,88,93,90,87,85,80,79,75,70,66,69,71,72,71,71,63,62,62,67,70,73,68,63,58,52,46,44,31,18,
Non-programme,CAN,Canada,DTP1,94,94,94,94,94,95,95,95,95,96,96,96,96,96,96,96,96,96,95,95,95,95,95,95,95,98,97,97,96,96,96,96,95,95,95,,,,,,,
WCAR,CAF,Central African Republic,DTP1,54,54,54,54,54,54,57,60,35,66,69,67,65,65,65,64,64,64,65,65,65,60,55,61,66,72,77,76,75,75,85,95,84,67,46,42,44,40,39,36,32,35
WCAR,TCD,Chad,DTP1,73,69,65,61,55,55,59,63,58,57,55,55,45,47,50,58,46,35,45,45,44,45,45,47,48,44,41,41,35,31,41,44,44,36,36,31,21,21,18,,,
LACR,CHL,Chile,DTP1,99,98,99,99,98,99,97,99,92,90,94,93,94,96,98,95,92,94,98,98,99,98,97,97,96,97,97,97,96,96,97,98,98,98,97,96,99,99,96,99,99,97
EAPR,CHN,China,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,95,95,95,95,95,94,94,94,94,94,93,95,96,97,97,98,98,98,91,92,92,90,80,,,
LACR,COL,Colombia,DTP1,90,92,95,92,94,93,93,91,97,91,95,96,97,97,97,98,97,90,94,93,82,91,95,95,94,95,95,95,94,92,94,96,92,90,80,72,82,82,67,51,44,39
ESAR,COM,Comoros,DTP1,95,93,96,96,96,96,96,93,90,91,92,81,89,85,79,78,77,85,82,96,85,85,73,90,72,82,91,80,88,63,76,97,94,68,88,88,75,56,,,,
WCAR,COG,Congo,DTP1,81,77,82,79,75,76,85,95,90,90,90,90,92,93,80,81,73,67,62,50,44,45,46,46,47,62,74,78,82,86,90,92,92,89,89,88,77,77,74,72,67,67
EAPR,COK,Cook Islands,DTP1,99,99,99,99,99,99,99,99,98,98,98,99,99,99,99,99,99,99,96,99,97,99,98,98,97,91,97,95,99,95,95,97,96,97,94,95,92,72,80,75,71,65
LACR,CRI,Costa Rica,DTP1,99,99,96,95,99,99,93,91,98,92,87,96,91,90,90,89,97,96,90,98,91,90,92,95,97,95,95,96,96,96,96,98,95,95,97,96,96,97,95,93,95,95
WCAR,CIV,Cote d'Ivoire,DTP1,85,84,92,95,93,98,96,92,83,93,74,87,95,89,93,95,83,73,71,76,81,85,77,74,77,70,64,72,77,73,64,77,67,56,56,55,50,42,,,,
ECAR,HRV,Croatia,DTP1,98,98,98,98,98,98,98,98,98,98,97,97,97,97,96,96,96,96,98,99,94,95,96,96,97,97,96,95,95,94,,,,,,,,,,,,
LACR,CUB,Cuba,DTP1,99,99,99,99,99,99,99,99,99,99,99,96,98,96,97,98,99,89,90,99,99,98,95,99,99,96,99,99,99,97,99,97,98,98,95,99,97,95,99,99,87,86
Non-programme,CYP,Cyprus,DTP1,98,98,98,99,98,98,98,99,99,99,99,99,99,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,97,97,97,97,96,97,97,82,55,59,51,79,59
Non-programme,CZE,Czechia,DTP1,98,99,99,99,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,99,,,,,,,,,,,,,
EAPR,PRK,Democratic People's Republic of Korea,DTP1,42,98,98,99,98,97,97,94,94,97,95,94,94,93,93,91,83,75,70,65,63,61,58,56,54,74,84,91,96,96,98,98,98,95,95,82,78,86,76,75,76,74
WCAR,COD,Democratic Republic of the Congo,DTP1,81,83,84,82,82,81,81,81,78,78,78,68,78,76,73,71,68,66,53,47,49,49,46,44,41,41,47,51,54,47,39,60,63,66,63,57,62,52,39,40,41,
Non-programme,DNK,Denmark,DTP1,98,97,97,97,99,97,96,96,97,97,94,93,90,89,87,93,93,95,98,99,97,98,99,99,97,94,97,96,97,98,98,98,98,97,97,97,99,95,96,97,97,97
MENA,DJI,Djibouti,DTP1,70,76,90,91,83,74,90,93,87,85,89,90,90,90,92,76,73,81,76,72,65,66,63,60,57,66,66,66,66,66,77,95,91,85,50,48,46,45,36,25,,
LACR,DMA,Dominica,DTP1,96,99,99,99,98,99,99,99,98,98,99,99,99,96,98,98,99,99,99,99,99,99,99,99,97,99,99,99,99,99,98,97,97,98,98,97,97,94,97,99,98,84
LACR,DOM,Dominican Republic,DTP1,99,86,96,98,99,98,99,95,91,92,91,96,85,86,87,93,92,87,88,92,95,91,95,91,86,88,89,90,91,90,88,87,80,80,93,93,64,59,54,53,52,61
LACR,ECU,Ecuador,DTP1,78,74,85,86,95,94,80,84,87,88,89,91,98,98,98,96,96,95,95,95,95,94,93,94,93,94,94,94,95,95,81,87,78,77,75,69,66,72,56,60,51,31
MENA,EGY,Egypt,DTP1,97,95,96,96,95,96,94,96,97,94,97,97,97,98,98,98,98,98,98,98,99,98,98,97,96,96,96,94,93,92,91,95,96,95,93,93,94,87,80,80,80,80
LACR,SLV,El Salvador,DTP1,72,79,82,82,83,91,93,96,97,92,90,90,97,99,99,98,96,96,98,93,97,99,98,99,98,98,99,96,92,82,82,93,84,84,77,74,78,56,45,67,67,69
WCAR,GNQ,Equatorial Guinea,DTP1,77,77,77,77,77,77,64,77,73,68,64,59,60,60,61,61,62,62,63,63,64,64,65,94,94,94,94,94,94,95,96,96,72,42,31,21,21,,,,,
ESAR,ERI,Eritrea,DTP1,97,97,97,97,97,97,98,97,97,97,97,97,97,97,98,98,99,99,97,94,91,88,97,90,83,75,68,61,49,,,,,,,,,,,,,
Non-programme,EST,Estonia,DTP1,91,92,92,93,94,94,94,95,96,96,96,96,97,97,98,98,99,98,99,99,99,96,98,97,96,96,94,92,90,,,,,,,,,,,,,
ESAR,SWZ,Eswatini,DTP1,86,87,96,96,96,96,96,99,99,97,98,95,95,96,95,95,95,95,95,95,95,94,94,94,94,94,94,98,96,97,92,96,96,96,95,90,82,74,68,64,55,
ESAR,ETH,Ethiopia,DTP1,70,76,76,77,76,75,74,73,67,74,80,77,74,71,67,64,61,58,55,52,50,47,44,61,78,78,80,80,53,35,45,73,51,39,39,27,25,22,22,21,21,
EAPR,FJI,Fiji,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,97,97,96,96,95,98,98,98,98,98,99,98,98,98,96,88,87,91,93,84,88,87
Non-programme,FIN,Finland,DTP1,98,98,98,99,98,99,99,99,99,99,99,99,99,99,99,99,99,98,98,99,99,99,99,99,99,99,99,99,99,99,98,96,96,99,98,98,98,98,97,97,97,97
Non-programme,FRA,France,DTP1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,98,97,97,97,97,98,92,96,98,98,97,96,95,92,92
