unicef_region,iso3,country,vaccine,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
ECAR,BGR,Bulgaria,DTP3,89,91,93,92,92,92,91,88,95,95,95,94,94,95,95,95,96,95,96,93,94,93,96,95,94,95,96,93,98,98,99,99,99,99,99,99,99,99,99,99,99,98
WCAR,BFA,Burkina Faso,DTP3,91,91,91,91,91,91,91,91,88,90,91,91,92,93,89,86,82,79,79,69,62,45,15,15,39,37,34,36,39,39,53,66,44,34,23,19,9,,,,,
ESAR,BDI,Burundi,DTP3,94,93,93,90,91,94,94,95,96,96,96,96,94,92,99,92,87,83,82,81,81,80,79,65,74,73,73,48,63,80,83,86,82,51,68,55,36,26,44,33,36,
WCAR,CPV,Cabo Verde,DTP3,93,93,96,98,96,96,93,95,93,94,90,99,99,99,98,96,95,93,92,91,90,90,89,88,87,88,88,89,89,88,87,88,99,88,92,54,39,31,23,,,
EAPR,KHM,Cambodia,DTP3,92,92,92,92,93,93,92,91,86,90,91,90,94,91,82,80,82,85,69,54,60,59,53,47,46,43,39,37,35,32,38,38,47,45,37,37,23,17,,,,
WCAR,CMR,Cameroon,DTP3,69,69,67,67,74,75,78,83,89,85,82,84,80,84,82,81,80,73,73,66,63,62,59,56,48,46,46,38,37,37,42,48,56,50,44,39,33,27,25,15,5,
Non-programme,CAN,Canada,DTP3,92,92,91,91,91,91,91,91,91,91,87,89,91,92,94,95,93,91,91,88,89,89,90,90,86,90,87,93,90,89,88,88,87,86,85,,,,,,,
WCAR,CAF,Central African Republic,DTP3,42,42,42,42,42,42,43,45,23,47,47,45,42,45,48,51,54,51,47,44,40,37,33,43,43,48,53,48,47,45,64,82,64,42,22,19,20,17,16,14,11,13
WCAR,TCD,Chad,DTP3,58,52,50,46,41,41,42,36,39,40,33,39,24,19,28,40,25,21,23,25,26,36,45,35,24,20,18,18,13,10,18,20,20,14,14,10,3,3,1,,,
LACR,CHL,Chile,DTP3,95,93,96,95,93,95,96,95,91,90,94,92,94,95,96,94,91,93,96,97,97,91,95,90,90,91,94,94,90,90,94,95,95,96,93,90,99,99,89,99,99,93
EAPR,CHN,China,DTP3,99,99,99,99,99,99,99,99,99,99,99,99,99,97,93,93,87,87,86,86,86,85,85,84,84,83,80,85,88,91,94,97,95,95,75,78,78,73,58,,,
LACR,COL,Colombia,DTP3,86,88,94,92,92,91,91,90,91,91,85,88,92,92,94,93,93,89,92,81,80,79,74,73,84,85,85,85,88,78,84,88,78,74,58,48,61,61,42,26,20,16
ESAR,COM,Comoros,DTP3,85,87,91,91,91,91,91,87,87,86,83,74,83,81,75,69,68,76,80,89,70,70,73,75,48,60,75,58,70,38,52,94,82,43,71,71,51,31,,,,
WCAR,COG,Congo,DTP3,77,73,79,75,69,71,80,90,85,85,82,74,78,79,72,73,62,67,50,41,31,33,29,26,23,37,50,55,60,67,74,79,79,72,72,71,54,53,50,47,42,42
EAPR,COK,Cook Islands,DTP3,98,98,98,99,99,99,99,99,98,98,93,99,82,99,99,99,99,99,96,97,90,92,92,93,93,75,93,86,99,87,87,93,89,94,83,87,78,48,57,51,46,40
LACR,CRI,Costa Rica,DTP3,99,97,95,94,96,97,92,91,95,91,85,88,86,90,89,89,91,90,88,94,91,88,86,85,94,85,85,88,88,90,90,95,86,87,94,89,90,93,86,81,85,86
WCAR,CIV,Cote d'Ivoire,DTP3,76,75,81,84,83,87,79,73,75,82,61,78,81,74,76,77,76,67,61,64,66,65,58,58,58,55,52,50,50,49,39,54,42,31,31,30,25,19,,,,
ECAR,HRV,Croatia,DTP3,92,94,94,93,92,93,94,95,96,96,96,97,96,96,96,96,96,96,94,95,94,93,93,93,92,91,90,87,85,83,,,,,,,,,,,,
LACR,CUB,Cuba,DTP3,99,99,99,99,99,99,99,99,99,99,97,96,96,95,93,89,89,88,72,99,98,95,95,99,99,90,99,99,99,94,99,92,96,98,87,99,91,86,99,99,68,67
Non-programme,CYP,Cyprus,DTP3,96,96,96,99,97,97,97,99,99,99,99,99,99,97,97,97,98,98,98,98,97,97,97,98,98,98,96,95,95,94,94,93,93,90,93,91,61,30,34,26,56,34
Non-programme,CZE,Czechia,DTP3,94,97,97,97,96,96,97,97,98,99,99,99,99,99,99,98,97,98,97,98,98,98,98,98,98,97,96,98,99,,,,,,,,,,,,,
EAPR,PRK,Democratic People's Republic of Korea,DTP3,41,97,97,97,97,96,96,93,93,96,94,93,93,92,92,89,79,72,68,64,62,56,50,43,37,50,64,77,90,90,97,98,97,87,86,61,55,67,52,51,52,50
WCAR,COD,Democratic Republic of the Congo,DTP3,65,70,73,71,71,70,70,73,71,71,70,60,71,68,65,62,60,54,41,38,30,40,25,18,18,18,23,26,29,23,16,35,38,41,38,32,37,27,16,17,18,
Non-programme,DNK,Denmark,DTP3,97,97,97,97,98,94,93,94,94,94,91,90,89,88,87,93,93,95,96,98,97,97,99,99,92,77,90,89,88,91,90,90,89,87,88,89,90,86,86,87,88,88
MENA,DJI,Djibouti,DTP3,59,70,85,84,76,68,84,78,82,81,87,88,89,89,88,72,71,64,68,62,53,46,23,23,32,41,41,41,41,41,53,85,77,65,25,24,22,21,14,6,,
LACR,DMA,Dominica,DTP3,92,96,99,94,91,99,98,97,96,97,98,98,99,96,96,95,98,99,99,98,99,99,99,99,92,99,99,99,99,99,98,92,92,96,95,93,91,84,93,99,97,63
LACR,DOM,Dominican Republic,DTP3,84,82,89,87,84,87,85,91,83,85,84,88,82,82,85,89,87,79,79,82,72,78,83,75,73,72,72,74,75,73,71,69,58,69,80,80,39,34,29,28,27,36
LACR,ECU,Ecuador,DTP3,72,70,85,85,85,83,78,83,87,87,88,91,94,96,96,96,92,88,87,88,89,87,79,85,81,82,83,84,85,87,59,68,55,54,51,44,41,48,31,35,26,10
MENA,EGY,Egypt,DTP3,96,94,95,95,94,95,93,94,97,93,96,97,97,97,98,98,98,97,98,97,99,98,97,92,88,90,88,83,81,79,76,87,90,87,81,80,84,69,57,57,57,57
LACR,SLV,El Salvador,DTP3,79,72,81,81,85,93,91,94,92,92,89,89,91,98,99,96,89,90,94,81,92,99,94,99,97,96,99,90,79,60,61,80,64,63,53,50,55,31,21,42,42,44
WCAR,GNQ,Equatorial Guinea,DTP3,53,53,53,53,53,53,40,53,53,54,54,54,52,50,48,46,44,43,41,39,37,35,33,81,81,80,79,77,76,76,77,77,48,19,10,3,3,,,,,
ESAR,ERI,Eritrea,DTP3,95,95,95,95,95,95,95,94,94,94,94,95,95,95,95,94,96,98,93,90,86,81,93,86,75,66,58,49,32,,,,,,,,,,,,,
Non-programme,EST,Estonia,DTP3,90,91,91,92,93,93,93,93,94,94,93,94,95,95,95,95,96,94,94,94,94,93,91,88,87,87,82,77,71,,,,,,,,,,,,,
ESAR,SWZ,Eswatini,DTP3,77,83,90,90,90,90,90,98,98,95,91,89,88,88,87,87,86,86,85,85,84,84,83,83,82,82,82,96,89,93,79,89,89,89,86,74,61,50,43,39,30,
ESAR,ETH,Ethiopia,DTP3,65,71,68,67,68,66,63,61,59,62,65,61,58,54,50,46,44,40,38,35,33,30,28,42,55,55,57,57,28,13,21,49,26,16,16,7,6,4,4,3,3,
EAPR,FJI,Fiji,DTP3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,96,95,94,93,91,90,89,87,86,97,97,96,96,97,99,97,98,98,90,71,69,77,80,64,70,68
Non-programme,FIN,Finland,DTP3,89,90,91,91,89,92,97,98,98,99,99,99,99,99,99,97,97,98,98,98,98,99,99,99,99,99,99,99,99,99,95,90,90,99,98,97,96,95,94,94,92,92
Non-programme,FRA,France,DTP3,96,96,96,96,96,96,97,98,99,99,99,99,98,99,99,99,98,98,97,97,97,97,97,96,97,97,96,96,94,94,94,94,95,79,88,96,95,94,90,85,79,79
WCAR,GAB,Gabon,DTP3,75,63,70,70,75,75,80,70,79,82,75,67,76,82,81,45,45,45,45,45,45,45,45,50,54,62,70,69,67,66,72,78,78,72,65,59,48,31,14,,,
WCAR,GMB,Gambia,DTP3,82,85,88,93,92,95,97,96,97,98,96,97,98,96,95,95,95,87,87,87,87,80,74,85,96,96,96,93,90,85,85,92,87,82,85,73,78,70,62,80,76,63
ECAR,GEO,Georgia,DTP3,85,88,94,93,91,92,94,91,93,92,94,92,88,92,98,88,82,78,75,84,87,80,84,80,80,80,79,58,54,58,,,,,,,,,,,,
Non-programme,DEU,Germany,DTP3,91,91,91,91,91,91,93,93,93,95,95,96,96,96,96,96,96,96,97,93,93,90,97,89,87,84,78,73,62,85,80,80,80,80,80,90,80,94,93,97,95,
WCAR,GHA,Ghana,DTP3,98,94,97,97,99,93,88,98,90,92,91,94,94,93,94,84,84,80,80,78,79,88,79,76,71,71,70,70,66,62,60,58,51,47,42,35,22,19,23,23,22,7
Non-programme,GRC,Greece,DTP3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,96,95,94,92,91,89,88,89,90,90,90,90,89,89,85,54,54,83,82,80,54,60,72,83,95,72
LACR,GRD,Grenada,DTP3,72,72,92,95,96,96,92,97,97,97,95,97,99,99,96,91,99,83,97,98,96,97,88,97,95,80,95,91,89,90,85,80,87,65,80,98,61,76,68,56,43,25
LACR,GTM,Guatemala,DTP3,79,83,85,85,91,83,70,74,96,96,88,94,92,95,85,89,87,87,84,82,77,81,77,78,73,66,77,71,75,66,63,66,50,47,16,37,21,48,44,45,42,43
WCAR,GIN,Guinea,DTP3,47,47,47,47,47,47,47,44,50,57,63,64,57,60,63,57,59,60,57,53,50,46,43,56,47,48,54,53,53,52,36,17,17,16,15,15,15,15,15,15,,
WCAR,GNB,Guinea-Bissau,DTP3,67,74,78,82,79,85,86,86,87,87,86,83,80,77,74,71,68,64,60,57,53,49,45,54,63,53,45,74,63,67,63,61,54,66,55,47,18,18,9,,,
LACR,GUY,Guyana,DTP3,91,99,99,95,97,97,95,98,98,97,93,95,98,93,94,93,93,91,90,91,85,88,83,90,88,83,86,90,93,79,81,83,77,64,67,64,75,70,58,53,45,35
LACR,HTI,Haiti,DTP3,51,51,51,64,64,64,64,63,65,66,68,67,65,64,64,62,60,57,53,50,46,43,39,41,42,42,42,41,39,38,36,41,50,48,28,24,19,14,9,13,14,3
LACR,HND,Honduras,DTP3,77,80,88,91,90,95,98,99,99,98,97,97,97,93,94,95,98,94,92,95,96,94,95,97,95,94,94,94,94,93,94,84,85,74,58,62,58,41,52,46,34,28
Non-programme,HUN,Hungary,DTP3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Non-programme,ISL,Iceland,DTP3,92,93,92,91,89,91,92,90,91,89,95,96,96,98,97,97,95,99,97,95,92,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,94,98,99,99
ROSA,IND,India,DTP3,85,85,91,90,89,88,87,85,83,82,82,79,74,70,64,65,65,63,61,59,59,58,59,61,62,66,71,67,61,56,57,70,50,40,30,20,18,16,14,12,6,6
EAPR,IDN,Indonesia,DTP3,67,77,85,85,85,84,84,88,92,87,81,81,78,77,73,72,72,71,71,70,76,75,75,74,73,72,69,68,66,64,62,60,57,54,50,47,27,13,6,1,1,
MENA,IRN,Iran (Islamic Republic of),DTP3,98,99,99,99,99,99,98,99,98,99,99,99,99,99,99,98,95,99,99,99,96,99,99,99,99,99,98,95,99,97,88,91,82,88,57,57,51,33,33,41,29,32
MENA,IRQ,Iraq,DTP3,78,74,84,86,81,71,68,73,73,72,81,74,78,69,57,59,65,74,75,77,78,80,81,76,78,76,74,72,70,74,78,83,87,87,94,91,86,67,16,18,13,14
Non-programme,IRL,Ireland,DTP3,94,94,94,94,95,95,95,96,96,95,95,94,94,93,92,91,90,89,86,83,84,86,86,84,76,74,73,71,70,68,67,65,65,43,44,44,45,45,42,43,36,34
Non-programme,ISR,Israel,DTP3,98,98,98,98,98,94,95,95,96,94,94,95,96,94,95,95,93,95,93,90,92,93,91,92,95,94,96,95,96,95,94,93,92,92,92,92,85,87,89,92,91,84
Non-programme,ITA,Italy,DTP3,94,94,96,95,95,94,93,95,96,97,96,96,96,96,97,96,95,94,96,93,93,87,95,95,95,96,95,95,95,95,95,83,,,,,,,,,,
LACR,JAM,Jamaica,DTP3,90,96,96,97,93,99,91,92,93,96,92,94,90,91,92,95,99,98,96,99,99,93,89,86,90,92,90,93,91,84,85,86,85,82,81,74,60,58,51,34,39,24
Non-programme,JPN,Japan,DTP3,96,96,98,98,99,99,96,96,96,97,97,97,97,98,98,98,98,99,97,96,95,85,80,75,70,99,74,80,85,87,92,90,87,86,85,84,83,82,80,81,75,60
MENA,JOR,Jordan,DTP3,77,77,89,96,99,98,99,98,98,98,98,98,98,97,98,98,95,95,97,95,99,91,85,99,99,96,95,94,91,92,92,92,94,93,90,88,85,81,76,75,81,30
ECAR,KAZ,Kazakhstan,DTP3,95,88,97,98,99,82,98,95,98,99,99,99,98,99,93,99,98,82,99,95,95,97,98,99,97,95,93,76,76,81,,,,,,,,,,,,
ESAR,KEN,Kenya,DTP3,91,89,91,92,82,89,89,92,87,94,96,90,88,88,81,80,76,73,73,84,80,82,82,81,79,87,94,92,89,87,86,84,83,82,77,72,70,58,,,,
EAPR,KIR,Kiribati,DTP3,92,92,97,95,90,81,78,75,95,94,99,91,86,82,94,86,79,62,70,77,85,90,78,88,91,79,60,71,99,86,70,97,79,63,36,37,37,18,40,53,29,43
MENA,KWT,Kuwait,DTP3,94,93,92,91,99,99,99,95,99,98,99,98,99,99,99,99,99,98,99,99,99,98,94,95,96,99,99,99,97,88,80,71,94,94,92,91,90,89,89,83,79,67
ECAR,KGZ,Kyrgyzstan,DTP3,89,87,95,94,92,96,97,96,97,96,96,96,95,95,94,92,98,99,98,98,99,99,99,97,98,98,93,82,64,84,,,,,,,,,,,,
EAPR,LAO,Lao People's Democratic Republic,DTP3,75,79,80,85,84,83,83,83,83,77,76,74,67,61,50,57,49,45,49,53,52,51,55,54,60,58,54,48,25,23,22,18,21,17,10,5,4,5,7,7,7,
Non-programme,LVA,Latvia,DTP3,94,99,99,96,98,98,94,92,94,91,92,92,94,94,94,96,99,99,98,97,97,96,95,94,92,93,98,97,80,87,,,,,,,,,,,,
MENA,LBN,Lebanon,DTP3,67,71,83,83,83,83,83,83,83,83,82,82,81,81,80,78,77,75,74,77,80,83,86,89,92,93,93,92,91,90,86,82,79,63,46,30,17,4,4,4,2,
ESAR,LSO,Lesotho,DTP3,87,87,87,87,87,87,83,88,93,95,96,93,91,88,88,89,89,90,90,84,78,83,88,88,87,87,88,87,86,85,84,82,81,80,79,81,82,74,66,61,56,56
WCAR,LBR,Liberia,DTP3,66,65,70,80,80,73,65,63,80,80,77,70,81,75,65,60,60,31,35,39,42,46,50,,,,,,,,,,,,,,,,,,,
MENA,LBY,Libya,DTP3,73,73,73,73,96,97,97,94,96,98,98,98,98,98,98,98,98,97,95,93,94,94,94,95,96,96,95,95,96,90,87,84,87,84,82,82,81,81,79,72,67,60
Non-programme,LTU,Lithuania,DTP3,90,91,92,92,94,94,93,93,93,93,92,95,98,96,95,94,94,94,94,95,95,94,93,93,90,91,90,83,83,78,,,,,,,,,,,,
Non-programme,LUX,Luxembourg,DTP3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,99,99,98,98,98,98,97,95,94,93,91,90,90,90,95,86,77,68,75,,,
ESAR,MDG,Madagascar,DTP3,55,66,68,65,65,68,62,68,70,68,73,70,77,77,84,85,85,78,66,62,60,57,55,52,49,49,57,66,66,65,53,46,45,42,35,30,23,19,23,15,,
ESAR,MWI,Malawi,DTP3,93,94,95,92,88,84,88,91,89,96,97,93,93,91,87,99,93,89,84,64,90,75,85,96,95,90,89,82,91,87,87,87,87,82,78,57,55,58,63,64,66,58
EAPR,MYS,Malaysia,DTP3,95,98,98,99,99,95,99,97,97,97,96,96,97,97,97,95,96,95,96,94,96,98,97,97,98,97,98,95,91,94,92,90,84,68,69,62,57,54,58,73,66,67
ROSA,MDV,Maldives,DTP3,96,99,98,99,99,99,99,99,99,99,96,96,98,98,98,98,98,96,98,98,98,98,97,97,97,97,94,96,90,98,98,94,91,86,42,42,28,24,13,1,1,4
WCAR,MLI,Mali,DTP3,77,70,77,77,77,76,71,66,64,65,66,73,73,74,74,78,77,69,63,61,49,43,40,52,52,53,49,39,46,38,34,42,26,18,8,8,8,,,,,
Non-programme,MLT,Malta,DTP3,99,98,98,97,98,97,97,99,99,99,96,76,73,72,74,85,92,89,94,95,95,94,93,92,92,92,92,88,83,82,86,63,47,87,87,86,37,50,,,,
EAPR,MHL,Marshall Islands,DTP3,86,82,79,81,80,71,85,78,79,80,87,94,96,95,93,74,77,64,68,80,48,39,66,86,78,78,70,67,56,82,71,92,92,92,,,,,,,,
WCAR,MRT,Mauritania,DTP3,68,72,80,77,76,74,73,81,80,80,75,64,64,74,75,68,71,70,76,89,75,51,53,16,28,50,55,50,44,39,29,33,28,28,30,32,27,21,20,20,18,
ESAR,MUS,Mauritius,DTP3,92,93,96,97,94,96,97,97,98,98,98,99,99,99,97,97,97,98,99,88,92,88,85,89,90,89,93,89,88,88,91,85,85,86,84,86,88,85,89,94,82,89
LACR,MEX,Mexico,DTP3,78,72,82,88,85,93,87,87,83,99,97,95,95,96,98,98,98,98,98,97,97,97,96,96,95,95,91,91,82,90,88,53,65,60,62,51,40,52,41,40,43,44
EAPR,FSM,Micronesia (Federated States of),DTP3,72,83,78,75,73,69,72,77,81,81,84,85,91,85,79,67,94,78,92,84,75,85,76,80,75,79,83,81,78,91,79,85,95,85,57,,,,,,,
Non-programme,MCO,Monaco,DTP3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,98,99,99,99,,,,,,,,
EAPR,MNG,Mongolia,DTP3,95,96,98,99,99,99,99,99,98,99,99,96,95,96,95,99,99,99,98,98,95,94,94,94,92,90,88,78,79,64,81,84,84,82,80,81,80,77,79,79,78,76
ECAR,MNE,Montenegro,DTP3,83,84,85,86,87,89,89,91,94,94,95,94,92,95,92,90,,,,,,,,,,,,,,,,,,,,,,,,,,
MENA,MAR,Morocco,DTP3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,95,97,98,97,91,94,96,95,91,93,94,95,90,87,86,87,81,81,80,82,85,63,51,45,41,32,,
ESAR,MOZ,Mozambique,DTP3,61,79,88,88,88,88,88,88,85,81,78,74,74,75,75,78,80,83,85,76,73,70,68,65,62,60,57,55,49,50,46,46,47,38,39,32,29,32,38,43,56,
EAPR,MMR,Myanmar,DTP3,37,84,90,91,89,90,89,88,75,84,84,90,90,85,86,82,73,82,78,79,73,82,75,90,90,88,84,77,73,71,66,88,50,28,23,20,16,12,11,9,5,4
ESAR,NAM,Namibia,DTP3,93,93,87,89,88,85,92,88,89,84,82,83,83,83,86,86,86,81,79,77,78,79,72,74,66,70,74,79,73,70,69,,,,,,,,,,,
EAPR,NRU,Nauru,DTP3,98,95,96,90,87,97,91,95,87,79,99,99,99,99,99,72,80,80,80,80,95,44,64,72,50,53,56,60,63,67,70,74,75,67,55,61,67,67,,,,
ROSA,NPL,Nepal,DTP3,91,84,93,91,90,87,91,92,92,90,92,82,89,82,82,89,75,80,78,72,72,74,65,71,78,65,54,54,51,49,46,43,44,45,46,38,32,27,23,18,16,8
Non-programme,NLD,Netherlands,DTP3,95,94,94,93,94,95,95,96,97,97,97,97,97,97,97,96,96,98,98,97,97,97,97,97,97,97,97,97,97,98,97,97,97,97,97,97,97,97,97,97,96,96
Non-programme,NZL,New Zealand,DTP3,90,92,92,93,94,92,92,93,92,93,95,93,92,89,88,89,89,89,90,90,90,90,88,81,86,88,89,84,83,81,81,90,80,69,67,70,72,83,73,73,72,76
LACR,NIC,Nicaragua,DTP3,87,92,98,98,98,98,98,98,98,98,98,98,98,97,93,88,86,79,86,85,87,83,79,73,80,80,80,81,81,81,75,70,68,47,51,45,39,33,24,27,23,16
WCAR,NER,Niger,DTP3,82,81,81,79,85,80,84,81,73,71,75,70,71,67,57,51,45,43,41,39,36,34,32,29,25,23,23,20,20,20,19,22,13,9,7,5,4,5,5,6,6,
WCAR,NGA,Nigeria,DTP3,56,56,56,55,55,53,42,43,43,42,48,54,63,53,42,40,36,33,29,25,27,29,31,32,21,26,34,44,29,43,39,56,47,36,29,22,16,9,,,,
EAPR,NIU,Niue,DTP3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,85,99,95,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,81,62,43,31,20,8,7
Non-programme,NOR,Norway,DTP3,97,97,97,96,96,96,95,93,94,95,94,93,94,94,93,94,91,92,92,93,91,90,92,93,95,97,97,93,94,98,96,86,83,83,80,83,85,90,90,,,
MENA,OMN,Oman,DTP3,99,99,99,99,99,99,99,99,98,98,99,99,98,99,99,98,99,99,99,99,99,99,99,99,99,99,99,97,97,99,95,98,98,90,89,82,60,45,31,24,19,18
ROSA,PAK,Pakistan,DTP3,83,77,84,80,75,75,72,69,65,64,63,52,52,53,54,59,63,68,66,63,61,59,57,54,52,46,58,39,37,42,50,54,40,38,36,34,30,23,15,5,3,2
EAPR,PLW,Palau,DTP3,95,96,97,95,97,98,90,95,99,89,84,69,49,92,94,98,98,98,99,99,98,96,96,96,91,98,99,67,89,93,98,99,78,99,81,98,,,,,,
LACR,PAN,Panama,DTP3,74,74,88,88,81,86,73,80,80,85,87,94,85,86,85,88,92,95,98,99,99,98,92,98,95,91,86,83,83,77,82,86,70,75,72,70,73,59,60,60,78,47
EAPR,PNG,Papua New Guinea,DTP3,31,39,35,35,36,46,49,52,60,57,58,55,64,56,66,70,72,62,68,61,55,59,60,60,45,56,62,61,58,58,68,68,53,48,44,44,40,34,27,29,32,32
LACR,PRY,Paraguay,DTP3,70,79,86,88,91,92,92,93,91,91,92,91,86,89,95,98,96,92,86,87,89,86,82,79,75,72,68,71,66,73,66,67,61,56,58,53,57,67,45,34,28,17
LACR,PER,Peru,DTP3,82,72,88,84,83,89,90,88,88,95,91,93,93,93,93,94,77,86,94,95,90,98,99,94,90,94,90,87,87,83,71,72,58,60,43,50,48,28,23,23,20,16
