"gavi_binary","sample_size","mean(predicts_2020)","mean(actuals_2020)","point_estimate","low_bound","upper_bound","p_value"
"Gavi-eligible",52,0.869686394989981,0.842115384615385,-0.0275710103745968,-0.03804403763268,-0.0170979831165137,2.63475525900561e-06
"Not eligible",115,0.95701570801906,0.937739130434783,-0.0192765775842774,-0.0266762404583192,-0.0118769147102355,1.0517125388819e-06
